,mean,date
453471.0,15696.77183519079,2000-01-01
453473.0,15635.150452616004,2000-01-01
453475.0,15671.87860415466,2000-01-01
453477.0,15651.703945892095,2000-01-01
453479.0,15681.197349653045,2000-01-01
453491.0,15796.771026789558,2000-01-01
453493.0,15869.08958374978,2000-01-01
453495.0,15875.73317483374,2000-01-01
453497.0,15636.481624622544,2000-01-01
453499.0,15781.355456745308,2000-01-01
453801.0,15546.273890920236,2000-01-01
453803.0,15645.70804962702,2000-01-01
453805.0,15533.361100373912,2000-01-01
453807.0,15563.19450684443,2000-01-01
453809.0,15505.187601932475,2000-01-01
454061.0,15860.444124486798,2000-01-01
454063.0,15592.27494638454,2000-01-01
454065.0,15597.316894755775,2000-01-01
454067.0,15578.011573340871,2000-01-01
454069.0,15617.810240708335,2000-01-01
452100.0,15015.73911658939,2000-01-01
452300.0,15146.627718873662,2000-01-01
453141.0,15113.901243569077,2000-01-01
453143.0,15119.09957330916,2000-01-01
453145.0,15302.068750904633,2000-01-01
453147.0,15448.254015617613,2000-01-01
453149.0,15381.007857956036,2000-01-01
453210.0,15460.890095756506,2000-01-01
453230.0,15498.194641719518,2000-01-01
453250.0,15514.46257282727,2000-01-01
453270.0,15559.594624568155,2000-01-01
453291.0,15592.08150789992,2000-01-01
453293.0,15659.270496324889,2000-01-01
453295.0,15656.561650218238,2000-01-01
453297.0,15686.090763511624,2000-01-01
453299.0,15620.55990933592,2000-01-01
453410.0,15365.141485425433,2000-01-01
453430.0,15545.789896255164,2000-01-01
453450.0,15612.120193263572,2000-01-01
453461.0,15646.329339517732,2000-01-01
453463.0,15625.138620481226,2000-01-01
453478.0,15899.14751250561,2000-01-01
453481.0,15621.617651849205,2000-01-01
453483.0,15841.252491412351,2000-01-01
453485.0,15823.723492474071,2000-01-01
453492.0,15914.49166071238,2000-01-01
453494.0,15938.98079794368,2000-01-01
453487.0,16010.673687222989,2000-01-01
453489.0,15924.062752043215,2000-01-01
453496.0,15922.975054606995,2000-01-01
453498.0,15775.512154602942,2000-01-01
453806.0,15551.564656853594,2000-01-01
453808.0,15515.181852727335,2000-01-01
454062.0,15873.909432092792,2000-01-01
454064.0,15504.78377425181,2000-01-01
454066.0,15538.680852715088,2000-01-01
454068.0,15558.70020029874,2000-01-01
