Daily Reservoir trends for Bargi\rani avanti bai sagar from 01-Jan-1999 to 14-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2000",416.75,0,416.75,422.76,1.69,0,1.69
"02-Jan-2000",416.7,0,416.7,422.76,1.68,0,1.68
"03-Jan-2000",416.65,0,416.65,422.76,1.67,0,1.67
"04-Jan-2000",416.65,0,416.65,422.76,1.67,0,1.67
"05-Jan-2000",416.6,0,416.6,422.76,1.66,0,1.66
"06-Jan-2000",416.55,0,416.55,422.76,1.655,0,1.655
"07-Jan-2000",416.45,0,416.45,422.76,1.63,0,1.63
"08-Jan-2000",416.4,0,416.4,422.76,1.62,0,1.62
"09-Jan-2000",416.3,0,416.3,422.76,1.6,0,1.6
"10-Jan-2000",416.25,0,416.25,422.76,1.59,0,1.59
"11-Jan-2000",416.15,0,416.15,422.76,1.57,0,1.57
"12-Jan-2000",416.1,0,416.1,422.76,1.56,0,1.56
"13-Jan-2000",416,0,416,422.76,1.54,0,1.54
"14-Jan-2000",415.95,0,415.95,422.76,1.53,0,1.53
"15-Jan-2000",415.85,0,415.85,422.76,1.511,0,1.511
"16-Jan-2000",415.8,0,415.8,422.76,1.502,0,1.502
"17-Jan-2000",415.7,0,415.7,422.76,1.483,0,1.483
"18-Jan-2000",415.65,0,415.65,422.76,1.473,0,1.473
"19-Jan-2000",415.55,0,415.55,422.76,1.454,0,1.454
"20-Jan-2000",415.5,0,415.5,422.76,1.445,0,1.445
"21-Jan-2000",415.4,0,415.4,422.76,1.426,0,1.426
"22-Jan-2000",415.3,0,415.3,422.76,1.407,0,1.407
"23-Jan-2000",415.25,0,415.25,422.76,1.397,0,1.397
"24-Jan-2000",415.15,0,415.15,422.76,1.378,0,1.378
"25-Jan-2000",415.05,0,415.05,422.76,1.359,0,1.359
"26-Jan-2000",415,0,415,422.76,1.35,0,1.35
"27-Jan-2000",414.9,0,414.9,422.76,1.334,0,1.334
"28-Jan-2000",414.84,0,414.84,422.76,1.323,0,1.323
"29-Jan-2000",414.78,0,414.78,422.76,1.311,0,1.311
"30-Jan-2000",414.72,0,414.72,422.76,1.3,0,1.3
"31-Jan-2000",414.66,0,414.66,422.76,1.289,0,1.289
"01-Feb-2000",414.6,0,414.6,422.76,1.277,0,1.277
"02-Feb-2000",414.53,0,414.53,422.76,1.266,0,1.266
"03-Feb-2000",414.47,0,414.47,422.76,1.254,0,1.254
"04-Feb-2000",414.41,0,414.41,422.76,1.243,0,1.243
"05-Feb-2000",414.33,0,414.33,422.76,1.232,0,1.232
"06-Feb-2000",414.29,0,414.29,422.76,1.22,0,1.22
"07-Feb-2000",414.23,0,414.23,422.76,1.209,0,1.209
"08-Feb-2000",414.17,0,414.17,422.76,1.198,0,1.198
"09-Feb-2000",414.11,0,414.11,422.76,1.186,0,1.186
"10-Feb-2000",414.05,0,414.05,422.76,1.175,0,1.175
"11-Feb-2000",413.99,0,413.99,422.76,1.163,0,1.163
"12-Feb-2000",413.93,0,413.93,422.76,1.162,0,1.162
"13-Feb-2000",413.86,0,413.86,422.76,1.141,0,1.141
"14-Feb-2000",413.8,0,413.8,422.76,1.129,0,1.129
"15-Feb-2000",413.74,0,413.74,422.76,1.118,0,1.118
"16-Feb-2000",413.68,0,413.68,422.76,1.107,0,1.107
"17-Feb-2000",413.62,0,413.62,422.76,1.095,0,1.095
"18-Feb-2000",413.56,0,413.56,422.76,1.084,0,1.084
"19-Feb-2000",413.5,0,413.5,422.76,1.072,0,1.072
"20-Feb-2000",413.44,0,413.44,422.76,1.061,0,1.061
"21-Feb-2000",413.38,0,413.38,422.76,1.05,0,1.05
"22-Feb-2000",413.32,0,413.32,422.76,1.038,0,1.038
"23-Feb-2000",413.26,0,413.26,422.76,1.027,0,1.027
"24-Feb-2000",413.19,0,413.19,422.76,1.016,0,1.016
"25-Feb-2000",413.13,0,413.13,422.76,1.004,0,1.004
"26-Feb-2000",413.07,0,413.07,422.76,0.993,0,0.993
"27-Feb-2000",413.01,0,413.01,422.76,0.981,0,0.981
"28-Feb-2000",412.95,0,412.95,422.76,0.97,0,0.97
"29-Feb-2000",412.95,0,412.95,422.76,0.97,0,0.97
"01-Mar-2000",412.95,0,412.95,422.76,0.97,0,0.97
"02-Mar-2000",412.88,0,412.88,422.76,0.96,0,0.96
"03-Mar-2000",412.81,0,412.81,422.76,0.951,0,0.951
"04-Mar-2000",412.74,0,412.74,422.76,0.941,0,0.941
"05-Mar-2000",413.67,0,413.67,422.76,0.932,0,0.932
"06-Mar-2000",412.6,0,412.6,422.76,0.922,0,0.922
"07-Mar-2000",412.53,0,412.53,422.76,0.913,0,0.913
"08-Mar-2000",412.47,0,412.47,422.76,0.904,0,0.904
"09-Mar-2000",412.41,0,412.41,422.76,0.895,0,0.895
"10-Mar-2000",412.34,0,412.34,422.76,0.886,0,0.886
"11-Mar-2000",412.28,0,412.28,422.76,0.873,0,0.873
"12-Mar-2000",412.22,0,412.22,422.76,0.864,0,0.864
"13-Mar-2000",412.15,0,412.15,422.76,0.86,0,0.86
"14-Mar-2000",412.09,0,412.09,422.76,0.854,0,0.854
"15-Mar-2000",412.04,0,412.04,422.76,0.846,0,0.846
"16-Mar-2000",411.99,0,411.99,422.76,0.839,0,0.839
"17-Mar-2000",411.92,0,411.92,422.76,0.831,0,0.831
