Daily Reservoir trends for Bargirani avanti bai sagar from 01-Jan-2016 to 01-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2016",419.85,419.9,418.625,422.76,2.1262,2.422,2.408
"02-Jan-2016",419.8,419.85,418.57,422.76,2.1131,2.408,2.394
"03-Jan-2016",419.75,419.8,418.525,422.76,2.1025,2.394,2.38
"04-Jan-2016",419.7,419.75,418.485,422.76,2.0922,2.38,2.366
"05-Jan-2016",419.65,419.7,418.435,422.76,2.0804,2.366,2.352
"06-Jan-2016",419.65,419.65,418.396,422.76,2.0708,2.352,2.352
"07-Jan-2016",419.6,419.6,418.34,422.76,2.0578,2.338,2.338
"08-Jan-2016",419.6,419.55,418.29,422.76,2.0559,2.324,2.338
"09-Jan-2016",419.55,419.5,418.24,422.76,2.0336,2.31,2.324
"10-Jan-2016",419.5,419.45,418.23,422.76,2.0227,2.296,2.31
"11-Jan-2016",419.5,419.4,418.155,422.76,2.0127,2.282,2.31
"12-Jan-2016",419.45,419.4,418.095,422.76,1.9984,2.282,2.296
"13-Jan-2016",419.45,419.35,418.045,422.76,1.9871,2.268,2.296
"14-Jan-2016",419.4,419.25,417.995,422.76,1.9747,2.24,2.282
"15-Jan-2016",419.35,419.2,417.95,422.76,1.9639,2.226,2.268
"16-Jan-2016",419.3,419.15,417.905,422.76,1.9534,2.212,2.254
"17-Jan-2016",419.25,419.1,417.85,422.76,1.9406,2.198,2.24
"18-Jan-2016",419.2,419.05,417.82,422.76,1.9339,2.184,2.226
"19-Jan-2016",419.15,419,417.77,422.76,1.9205,2.17,2.212
"20-Jan-2016",419.1,419,417.745,422.76,1.9169,2.17,2.198
"21-Jan-2016",419.05,418.95,417.698,422.76,1.9066,2.159,2.184
"22-Jan-2016",419.05,418.95,417.67,422.76,1.9008,2.159,2.184
"23-Jan-2016",419,418.9,417.615,422.76,1.8886,2.148,2.17
"24-Jan-2016",419,418.9,417.585,422.76,1.8823,2.148,2.17
"25-Jan-2016",418.95,418.85,417.54,422.76,1.8725,2.137,2.159
"26-Jan-2016",418.9,418.85,417.5,422.76,1.8655,2.137,2.148
"27-Jan-2016",418.9,418.8,417.47,422.76,1.8586,2.126,2.148
"28-Jan-2016",418.85,418.75,417.425,422.76,1.8491,2.115,2.137
"29-Jan-2016",418.8,418.7,417.39,422.76,1.8417,2.104,2.126
"30-Jan-2016",418.8,418.7,417.36,422.76,1.8356,2.104,2.126
"31-Jan-2016",418.75,418.65,417.32,422.76,1.8271,2.093,2.115
"01-Feb-2016",418.7,418.6,417.27,422.76,1.8163,2.082,2.104
"02-Feb-2016",418.65,418.55,417.23,422.76,1.8081,2.071,2.093
"03-Feb-2016",418.6,418.5,417.17,422.76,1.7959,2.06,2.082
"04-Feb-2016",418.55,418.45,417.11,422.76,1.7836,2.049,2.071
"05-Feb-2016",418.5,418.4,417.04,422.76,1.7689,2.038,2.06
"06-Feb-2016",418.45,418.35,416.995,422.76,1.7578,2.027,2.049
"07-Feb-2016",418.45,418.3,416.94,422.76,1.7481,2.016,2.049
"08-Feb-2016",418.4,418.25,416.895,422.76,1.7399,2.005,2.038
"09-Feb-2016",418.35,418.2,416.83,422.76,1.727,1.994,2.027
"10-Feb-2016",418.3,418.15,416.775,422.76,1.7164,1.983,2.016
"11-Feb-2016",418.25,418.05,416.715,422.76,1.7045,1.961,2.005
"12-Feb-2016",418.2,418,416.655,422.76,1.6949,1.95,1.994
"13-Feb-2016",418.2,417.95,416.62,422.76,1.6857,1.94,1.994
"14-Feb-2016",418.15,417.85,416.575,422.76,1.6768,1.919,1.983
"15-Feb-2016",418.1,417.8,416.535,422.76,1.669,1.908,1.972
"16-Feb-2016",418.05,417.75,416.49,422.76,1.6606,1.897,1.961
"17-Feb-2016",418,417.7,416.44,422.76,1.6512,1.887,1.95
"18-Feb-2016",417.95,417.65,416.38,422.76,1.64,1.877,1.94
"19-Feb-2016",417.9,417.55,416.325,422.76,1.6294,1.855,1.929
"20-Feb-2016",417.85,417.45,416.265,422.76,1.618,1.835,1.919
"21-Feb-2016",417.8,417.4,416.205,422.76,1.6068,1.824,1.908
"22-Feb-2016",417.75,417.3,416.135,422.76,1.5936,1.803,1.897
"23-Feb-2016",417.7,417.25,416.1,422.76,1.5877,1.792,1.887
"24-Feb-2016",417.65,417.2,416.05,422.76,1.5786,1.782,1.877
"25-Feb-2016",417.6,417.1,415.98,422.76,1.5654,1.761,1.866
"26-Feb-2016",417.55,417.05,415.925,422.76,1.5542,1.75,1.855
"27-Feb-2016",417.5,417,415.865,422.76,1.5433,1.74,1.845
"28-Feb-2016",417.5,416.9,415.805,422.76,1.5324,1.72,1.845
"29-Feb-2016",417.5,416.9,415.805,422.76,1.5324,1.72,1.845
"01-Mar-2016",417.5,416.85,415.745,422.76,1.5219,1.71,1.845
"02-Mar-2016",417.45,416.8,415.695,422.76,1.5128,1.7,1.835
"04-Mar-2016",417.4,416.75,415.585,422.76,1.4928,1.69,1.824
"05-Mar-2016",417.4,416.7,415.55,422.76,1.4862,1.68,1.824
"06-Mar-2016",417.35,416.65,415.49,422.76,1.4754,1.67,1.813
"07-Mar-2016",417.35,416.65,415.44,422.76,1.4664,1.67,1.813
"08-Mar-2016",417.25,416.6,415.385,422.76,1.4591,1.66,1.792
"09-Mar-2016",417.15,416.55,415.31,422.76,1.4425,1.65,1.772
"10-Mar-2016",417.1,416.5,415.245,422.76,1.4313,1.64,1.761
"11-Mar-2016",417.05,416.4,415.188,422.76,1.4213,1.62,1.75
"12-Mar-2016",417,416.35,415.12,422.76,1.4096,1.61,1.74
"13-Mar-2016",416.95,416.25,415.065,422.76,1.4006,1.59,1.73
"14-Mar-2016",416.9,416.2,415.015,422.76,1.3906,1.58,1.72
"15-Mar-2016",416.9,416.15,414.96,422.76,1.381,1.57,1.72
"16-Mar-2016",416.9,416.05,414.91,422.76,1.372,1.55,1.72
"17-Mar-2016",416.85,416,414.845,422.76,1.3611,1.54,1.71
"18-Mar-2016",416.85,415.9,414.785,422.76,1.3508,1.521,1.71
"19-Mar-2016",416.8,415.8,414.72,422.76,1.3394,1.502,1.7
"20-Mar-2016",416.8,415.75,414.68,422.76,1.3326,1.492,1.7
"21-Mar-2016",416.75,415.65,414.61,422.76,1.3208,1.474,1.69
"22-Mar-2016",416.7,415.6,414.55,422.76,1.31,1.464,1.68
"23-Mar-2016",416.65,415.55,414.495,422.76,1.3003,1.454,1.67
"25-Mar-2016",416.55,415.35,414.375,422.76,1.2796,1.417,1.65
"26-Mar-2016",416.5,415.25,414.42,422.76,1.2702,1.397,1.64
"27-Mar-2016",416.5,415.15,414.27,422.76,1.2618,1.379,1.64
"28-Mar-2016",416.45,415.05,414.205,422.76,1.2536,1.359,1.63
"29-Mar-2016",416.45,414.95,414.155,422.76,1.2453,1.342,1.63
"30-Mar-2016",416.4,414.9,414.095,422.76,1.2352,1.334,1.62
"31-Mar-2016",416.35,414.85,414.035,422.76,1.225,1.326,1.61
"01-Apr-2016",416.3,414.8,413.975,422.76,1.2107,1.318,1.6
"02-Apr-2016",416.25,0,413.8,422.76,1.1849999999,0,1.59
"03-Apr-2016",416.2,414.7,413.81,422.76,1.1858,1.302,1.58
"04-Apr-2016",416.15,414.65,413.75,422.76,1.1762,1.294,1.57
"05-Apr-2016",416.1,414.6,413.655,422.76,1.1619,1.286,1.56
"06-Apr-2016",416.05,414.5,413.585,422.76,1.1511,1.27,1.55
"07-Apr-2016",416,414.4,413.51,422.76,1.1387,1.254,1.54
"08-Apr-2016",415.95,414.3,413.42,422.76,1.1265,1.238,1.53
"09-Apr-2016",415.9,414.2,413.33,422.76,1.1142,1.222,1.521
"10-Apr-2016",415.85,414.1,413.0944444446,422.76,1.0834444444,1.206,1.512
"11-Apr-2016",415.85,414,413.14,422.76,1.0886,1.19,1.512
"12-Apr-2016",415.8,413.9,413.055,422.76,1.0754,1.177,1.502
"13-Apr-2016",415.75,413.8,412.865,422.76,1.0657,1.164,1.492
"15-Apr-2016",415.65,413.7,412.685,422.76,1.0375,1.15,1.474
"16-Apr-2016",415.55,413.65,412.7,422.76,1.0257,1.144,1.454
"17-Apr-2016",415.5,413.55,412.615,422.76,1.0143,1.131,1.445
"18-Apr-2016",415.45,413.5,412.525,422.76,1.0021,1.124,1.435
"19-Apr-2016",415.35,413.4,412.435,422.76,0.9899,1.111,1.417
"20-Apr-2016",415.3,413.35,412.35,422.76,0.9787,1.104,1.407
"21-Apr-2016",415.2,413.3,412.265,422.76,0.9673,1.098,1.388
"22-Apr-2016",415.15,413.2,412.16,422.76,0.9535,1.084,1.379
"23-Apr-2016",415.05,413.15,412.075,422.76,0.9422,1.078,1.359
"24-Apr-2016",415,413.05,411.97,422.76,0.9285,1.065,1.35
"25-Apr-2016",414.95,413,411.88,422.76,0.9167,1.058,1.342
"26-Apr-2016",414.9,412.95,411.775,422.76,0.9035,1.051,1.334
"27-Apr-2016",414.85,412.85,411.7,422.76,0.8939,1.037,1.326
"28-Apr-2016",414.75,412.8,411.58,422.76,0.8783,1.03,1.31
"29-Apr-2016",414.7,412.75,411.5,422.76,0.8685,1.024,1.302
"30-Apr-2016",414.65,412.7,411.41,422.76,0.8572,1.017,1.294
"01-May-2016",414.55,412.65,411.29,422.76,0.842,1.01,1.278
"02-May-2016",414.5,412.55,411.2,422.76,0.8311,0.996,1.27
"03-May-2016",414.4,412.45,411.115,422.76,0.8204,0.982,1.254
"04-May-2016",414.3,412.35,411.02,422.76,0.8076,0.968,1.238
"05-May-2016",414.25,412.25,410.93,422.76,0.7963,0.955,1.23
"06-May-2016",414.15,412.2,410.845,422.76,0.7858,0.948,1.214
"07-May-2016",414.1,412.1,410.74,422.76,0.7731,0.934,1.206
"08-May-2016",414,412,410.645,422.76,0.7609,0.92,1.19
"09-May-2016",413.95,411.85,410.555,422.76,0.75,0.901,1.183
"10-May-2016",413.9,411.75,410.445,422.76,0.737,0.889,1.177
"11-May-2016",413.8,411.7,410.36,422.76,0.7267,0.882,1.164
"12-May-2016",413.7,411.6,410.26,422.76,0.7149,0.87,1.15
"13-May-2016",413.65,411.45,410.175,422.76,0.7049,0.851,1.144
"14-May-2016",413.55,411.35,410.085,422.76,0.6943,0.839,1.131
"15-May-2016",413.5,411.25,410,422.76,0.6844,0.826,1.124
"16-May-2016",413.4,411.1,409.9,422.76,0.6728,0.807,1.111
"17-May-2016",413.35,411,409.82,422.76,0.6636,0.795,1.104
"18-May-2016",413.25,410.9,409.735,422.76,0.6538,0.783,1.091
"19-May-2016",413.2,410.85,409.66,422.76,0.6455,0.777,1.084
"20-May-2016",413.1,410.75,409.57,422.76,0.6353,0.765,1.071
"21-May-2016",413,410.65,409.49,422.76,0.6265,0.753,1.058
"22-May-2016",412.95,410.6,409.42,422.76,0.6189,0.747,1.051
"23-May-2016",412.85,410.5,409.32,422.76,0.6082,0.735,1.037
"24-May-2016",412.75,410.4,409.235,422.76,0.5992,0.723,1.024
"25-May-2016",412.7,410.3,409.175,422.76,0.5914,0.711,1.017
"26-May-2016",412.6,410.2,409.07,422.76,0.5811,0.699,1.003
"27-May-2016",412.55,410.1,408.97,422.76,0.5705,0.687,0.996
"28-May-2016",412.45,409.95,408.885,422.76,0.561,0.669,0.982
"29-May-2016",412.4,409.8,408.805,422.76,0.5526,0.652,0.975
"30-May-2016",412.3,409.65,408.7,422.76,0.5412,0.635,0.961
"31-May-2016",412.25,409.55,408.595,422.76,0.5357,0.623,0.955
"01-Jun-2016",412.25,409.45,408.515,422.76,0.5224,0.612,0.955
"02-Jun-2016",412.2,409.35,408.425,422.76,0.513,0.6,0.948
"03-Jun-2016",412.1,409.3,408.33,422.76,0.5028,0.595,0.934
"04-Jun-2016",412.05,409.2,408.235,422.76,0.4926,0.583,0.927
"05-Jun-2016",412,409.05,408.165,422.76,0.4858,0.566,0.92
"06-Jun-2016",411.9,409,408.115,422.76,0.4796,0.56,0.907
"07-Jun-2016",411.9,408.95,408,422.76,0.4685,0.554,0.907
"08-Jun-2016",411.85,408.85,407.915,422.76,0.459,0.543,0.901
"09-Jun-2016",411.8,408.7,407.82,422.76,0.4497,0.527,0.895
"10-Jun-2016",411.75,408.65,407.74,422.76,0.4418,0.521,0.889
"11-Jun-2016",411.7,408.6,407.66,422.76,0.4349,0.516,0.882
"12-Jun-2016",411.65,408.55,407.595,422.76,0.4285,0.51,0.876
"13-Jun-2016",411.55,408.55,407.51,422.76,0.4202,0.51,0.864
"14-Jun-2016",411.5,408.5,407.445,422.76,0.4138,0.505,0.858
"15-Jun-2016",411.45,408.45,407.39,422.76,0.4086,0.499,0.851
"16-Jun-2016",411.4,408.4,407.32,422.76,0.402,0.494,0.845
"17-Jun-2016",411.3,408.4,407.25,422.76,0.3953,0.494,0.833
"18-Jun-2016",411.25,408.4,407.17,422.76,0.3877,0.494,0.826
"19-Jun-2016",411.2,408.4,407.075,422.76,0.3791,0.494,0.82
"20-Jun-2016",411.15,408.4,407.02,422.76,0.3743,0.494,0.814
"21-Jun-2016",411.1,408.4,406.91,422.76,0.3651,0.494,0.807
"22-Jun-2016",411.05,408.4,406.89,422.76,0.3637,0.494,0.801
"23-Jun-2016",411,408.4,406.87,422.76,0.3632,0.494,0.795
"24-Jun-2016",410.95,409.4,406.95,422.76,0.3729,0.606,0.789
"25-Jun-2016",410.95,409.85,406.99,422.76,0.3778,0.658,0.789
"26-Jun-2016",410.9,409.85,407.005,422.76,0.3793,0.658,0.783
"27-Jun-2016",410.9,409.9,407.135,422.76,0.3822,0.663,0.783
"28-Jun-2016",410.85,409.85,407.115,422.76,0.3904,0.658,0.777
"29-Jun-2016",411,409.85,407.3,422.76,0.4326,0.658,0.795
"30-Jun-2016",411.1,409.85,407.71,422.76,0.4563,0.658,0.807
"01-Jul-2016",411.15,409.85,407.805,422.76,0.4692,0.658,0.814
"02-Jul-2016",411.25,409.9,407.885,422.76,0.4787,0.663,0.826
"03-Jul-2016",411.35,410,407.94,422.76,0.4864,0.675,0.839
"04-Jul-2016",411.5,410.1,407.97,422.76,0.4899,0.685,0.858
"05-Jul-2016",411.65,410.3,408.05,422.76,0.4946,0.711,0.876
"06-Jul-2016",411.8,410.35,408.055,422.76,0.499,0.717,0.895
"07-Jul-2016",412.05,410.35,408.115,422.76,0.5054,0.717,0.927
"08-Jul-2016",412.9,410.3,408.325,422.76,0.5278,0.711,1.044
"09-Jul-2016",414.25,410.35,408.67,422.76,0.5673,0.717,1.23
"10-Jul-2016",414.65,410.75,409.145,422.76,0.6172,0.765,1.294
"11-Jul-2016",415.3,411.45,409.53,422.76,0.6661,0.851,1.407
"12-Jul-2016",415.85,412,409.81,422.76,0.7023,0.92,1.512
"13-Jul-2016",416.15,412.35,409.98,422.76,0.7242,0.968,1.57
"14-Jul-2016",416.25,412.45,410.11,422.76,0.7395,0.982,1.59
"15-Jul-2016",416.35,412.45,410.415,422.76,0.764,0.982,1.61
"16-Jul-2016",416.5,412.5,410.695,422.76,0.8081,0.989,1.64
"17-Jul-2016",416.75,412.55,410.98,422.76,0.8416,0.996,1.69
"18-Jul-2016",417,412.55,411.28,422.76,0.8808,0.996,1.74
"19-Jul-2016",417.5,412.6,411.505,422.76,0.915,1.003,1.845
"20-Jul-2016",417.75,412.7,411.675,422.76,0.9414,1.017,1.897
"21-Jul-2016",417.85,412.85,411.87,422.76,0.9678,1.037,1.918
