Daily Reservoir trends for Hirakud reservoir from 01-Jan-1999 to 14-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2000",190.96,0,190.96,192.02,4.77,0,4.77
"02-Jan-2000",190.91,0,190.91,192.02,4.744,0,4.744
"03-Jan-2000",190.87,0,190.87,192.02,4.72,0,4.72
"04-Jan-2000",190.82,0,190.82,192.02,4.69,0,4.69
"05-Jan-2000",190.77,0,190.77,192.02,4.661,0,4.661
"06-Jan-2000",190.72,0,190.72,192.02,4.637,0,4.637
"07-Jan-2000",190.68,0,190.68,192.02,4.614,0,4.614
"08-Jan-2000",190.65,0,190.65,192.02,4.597,0,4.597
"09-Jan-2000",190.61,0,190.61,192.02,4.574,0,4.574
"10-Jan-2000",190.58,0,190.58,192.02,4.553,0,4.553
"11-Jan-2000",190.55,0,190.55,192.02,4.537,0,4.537
"12-Jan-2000",190.51,0,190.51,192.02,4.514,0,4.514
"13-Jan-2000",190.46,0,190.46,192.02,4.487,0,4.487
"14-Jan-2000",190.41,0,190.41,192.02,4.439,0,4.439
"15-Jan-2000",190.36,0,190.36,192.02,4.432,0,4.432
"16-Jan-2000",190.32,0,190.32,192.02,4.404,0,4.404
"17-Jan-2000",190.27,0,190.27,192.02,4.377,0,4.377
"18-Jan-2000",190.22,0,190.22,192.02,4.349,0,4.349
"19-Jan-2000",190.17,0,190.17,192.02,4.322,0,4.322
"20-Jan-2000",190.12,0,190.12,192.02,4.294,0,4.294
"21-Jan-2000",190.07,0,190.07,192.02,4.269,0,4.269
"22-Jan-2000",190,0,190,192.02,4.239,0,4.239
"23-Jan-2000",189.98,0,189.98,192.02,4.212,0,4.212
"24-Jan-2000",189.93,0,189.93,192.02,4.185,0,4.185
"25-Jan-2000",189.88,0,189.88,192.02,4.157,0,4.157
"26-Jan-2000",189.83,0,189.83,192.02,4.13,0,4.13
"27-Jan-2000",189.78,0,189.78,192.02,4.102,0,4.102
"28-Jan-2000",189.73,0,189.73,192.02,4.075,0,4.075
"29-Jan-2000",189.69,0,189.69,192.02,4.047,0,4.047
"30-Jan-2000",189.64,0,189.64,192.02,4.02,0,4.02
"31-Jan-2000",189.59,0,189.59,192.02,3.992,0,3.992
"01-Feb-2000",189.54,0,189.54,192.02,3.965,0,3.965
"02-Feb-2000",189.49,0,189.49,192.02,3.937,0,3.937
"03-Feb-2000",189.44,0,189.44,192.02,3.91,0,3.91
"04-Feb-2000",189.4,0,189.4,192.02,3.882,0,3.882
"05-Feb-2000",189.35,0,189.35,192.02,3.855,0,3.855
"06-Feb-2000",189.29,0,189.29,192.02,3.827,0,3.827
"07-Feb-2000",189.25,0,189.25,192.02,3.8,0,3.8
"08-Feb-2000",189.2,0,189.2,192.02,3.77,0,3.77
"09-Feb-2000",189.14,0,189.14,192.02,3.742,0,3.742
"10-Feb-2000",189.09,0,189.09,192.02,3.712,0,3.712
"11-Feb-2000",189.03,0,189.03,192.02,3.683,0,3.683
"12-Feb-2000",188.98,0,188.98,192.02,3.654,0,3.654
"13-Feb-2000",188.93,0,188.93,192.02,3.624,0,3.624
"14-Feb-2000",188.87,0,188.87,192.02,3.595,0,3.595
"15-Feb-2000",188.82,0,188.82,192.02,3.566,0,3.566
"16-Feb-2000",188.77,0,188.77,192.02,3.536,0,3.536
"17-Feb-2000",188.71,0,188.71,192.02,3.507,0,3.507
"18-Feb-2000",188.66,0,188.66,192.02,3.478,0,3.478
"19-Feb-2000",188.61,0,188.61,192.02,3.448,0,3.448
"20-Feb-2000",188.55,0,188.55,192.02,3.419,0,3.419
"21-Feb-2000",188.5,0,188.5,192.02,3.39,0,3.39
"22-Feb-2000",188.44,0,188.44,192.02,3.361,0,3.361
"23-Feb-2000",188.39,0,188.39,192.02,3.331,0,3.331
"24-Feb-2000",189.34,0,189.34,192.02,3.302,0,3.302
"25-Feb-2000",188.28,0,188.28,192.02,3.273,0,3.273
"26-Feb-2000",188.23,0,188.23,192.02,3.243,0,3.243
"27-Feb-2000",188.18,0,188.18,192.02,3.214,0,3.214
"28-Feb-2000",188.12,0,188.12,192.02,3.185,0,3.185
"29-Feb-2000",188.07,0,188.07,192.02,3.155,0,3.155
"01-Mar-2000",188.02,0,188.02,192.02,3.126,0,3.126
"02-Mar-2000",187.96,0,187.96,192.02,2.096,0,2.096
"03-Mar-2000",187.9,0,187.9,192.02,3.067,0,3.067
"04-Mar-2000",187.85,0,187.85,192.02,3.038,0,3.038
"05-Mar-2000",187.8,0,187.8,192.02,3.009,0,3.009
"06-Mar-2000",188.75,0,188.75,192.02,2.98,0,2.98
"07-Mar-2000",187.69,0,187.69,192.02,2.95,0,2.95
"08-Mar-2000",187.64,0,187.64,192.02,2.921,0,2.921
"09-Mar-2000",187.59,0,187.59,192.02,2.892,0,2.892
"10-Mar-2000",187.53,0,187.53,192.02,2.862,0,2.862
"11-Mar-2000",187.48,0,187.48,192.02,2.833,0,2.833
"12-Mar-2000",187.42,0,187.42,192.02,2.804,0,2.804
"13-Mar-2000",187.37,0,187.37,192.02,2.775,0,2.775
"14-Mar-2000",187.32,0,187.32,192.02,2.745,0,2.745
"15-Mar-2000",187.26,0,187.26,192.02,2.716,0,2.716
"16-Mar-2000",187.21,0,187.21,192.02,2.687,0,2.687
"17-Mar-2000",187.16,0,187.16,192.02,2.657,0,2.657
"18-Mar-2000",187.1,0,187.1,192.02,2.628,0,2.628
"19-Mar-2000",187.05,0,187.05,192.02,2.549,0,2.549
"20-Mar-2000",187,0,187,192.02,2.569,0,2.569
"21-Mar-2000",186.94,0,186.94,192.02,2.54,0,2.54
"22-Mar-2000",186.89,0,186.89,192.02,2.511,0,2.511
"23-Mar-2000",186.83,0,186.83,192.02,2.482,0,2.482
"24-Mar-2000",186.78,0,186.78,192.02,2.452,0,2.452
"25-Mar-2000",186.79,0,186.79,192.02,2.459,0,2.459
"26-Mar-2000",186.81,0,186.81,192.02,2.466,0,2.466
"27-Mar-2000",186.82,0,186.82,192.02,2.474,0,2.474
"28-Mar-2000",186.84,0,186.84,192.02,2.482,0,2.482
"29-Mar-2000",186.85,0,186.85,192.02,2.489,0,2.489
"30-Mar-2000",186.86,0,186.86,192.02,2.496,0,2.496
"31-Mar-2000",186.88,0,186.88,192.02,2.504,0,2.504
"01-Apr-2000",186.89,0,186.89,192.02,2.511,0,2.511
"02-Apr-2000",186.14,0,186.14,192.02,2.125,0,2.125
"03-Apr-2000",186.07,0,186.07,192.02,2.091,0,2.091
"04-Apr-2000",186.07,0,186.07,192.02,2.091,0,2.091
"05-Apr-2000",186.07,0,186.07,192.02,2.091,0,2.091
"06-Apr-2000",186.07,0,186.07,192.02,2.091,0,2.091
"07-Apr-2000",186.07,0,186.07,192.02,2.091,0,2.091
"08-Apr-2000",186.07,0,186.07,192.02,2.091,0,2.091
"09-Apr-2000",186.07,0,186.07,192.02,2.03,0,2.03
"10-Apr-2000",185.94,0,185.94,192.02,2.036,0,2.036
"11-Apr-2000",185.81,0,185.81,192.02,1.981,0,1.981
"12-Apr-2000",185.67,0,185.67,192.02,1.926,0,1.926
"13-Apr-2000",185.55,0,185.55,192.02,1.871,0,1.871
"14-Apr-2000",185.41,0,185.41,192.02,1.816,0,1.816
"15-Apr-2000",185.28,0,185.28,192.02,1.761,0,1.761
"16-Apr-2000",185.15,0,185.15,192.02,1.706,0,1.706
"17-Apr-2000",185.02,0,185.02,192.02,1.651,0,1.651
"18-Apr-2000",184.88,0,184.88,192.02,1.595,0,1.595
"19-Apr-2000",184.75,0,184.75,192.02,1.54,0,1.54
"20-Apr-2000",184.62,0,184.62,192.02,1.485,0,1.485
"21-Apr-2000",184.49,0,184.49,192.02,1.43,0,1.43
"22-Apr-2000",184.36,0,184.36,192.02,1.375,0,1.375
"23-Apr-2000",184.22,0,184.22,192.02,1.32,0,1.32
"24-Apr-2000",184.09,0,184.09,192.02,1.265,0,1.265
