Daily Reservoir trends for Maithon reservoir from 01-Jan-2016 to 01-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2016",139.79,144.3,145.011,146.3,0.4055,0.335,0.152
"02-Jan-2016",139.78,144.28,145.005,146.3,0.4052,0.334,0.151
"03-Jan-2016",139.77,144.28,145.002,146.3,0.4051,0.334,0.151
"04-Jan-2016",139.76,144.27,145,146.3,0.405,0.333,0.151
"05-Jan-2016",139.75,144.25,144.995,146.3,0.4048,0.332,0.15
"06-Jan-2016",139.74,144.23,144.99,146.3,0.4045,0.331,0.15
"07-Jan-2016",139.73,144.23,144.987,146.3,0.4044,0.331,0.15
"08-Jan-2016",139.72,0,145.0688888891,146.3,0.4124444442,0,0.149
"09-Jan-2016",139.71,144.18,144.975,146.3,0.404,0.329,0.149
"10-Jan-2016",139.7,0,145.0588888891,146.3,0.4119999998,0,0.149
"11-Jan-2016",139.69,0,145.0566666669,146.3,0.4118888886,0,0.148
"12-Jan-2016",139.69,144.18,144.971,146.3,0.4037,0.329,0.148
"15-Jan-2016",139.69,144.09,144.94,146.3,0.3989,0.325,0.148
"16-Jan-2016",139.69,0,145.0322222225,146.3,0.4071111109,0,0.148
"17-Jan-2016",139.69,0,145.0244444447,146.3,0.4066666665,0,0.148
"18-Jan-2016",139.69,0,145.0211111112,146.3,0.4064444443,0,0.148
"19-Jan-2016",139.69,143.89,144.907,146.3,0.398,0.321,0.148
"20-Jan-2016",139.69,143.89,144.904,146.3,0.3979,0.321,0.148
"21-Jan-2016",139.69,143.89,144.9,146.3,0.3976,0.321,0.148
"22-Jan-2016",139.69,0,145.0055555557,146.3,0.4023333331,0,0.148
"23-Jan-2016",139.75,0,144.9811111114,146.3,0.4018888887,0,0.15
"24-Jan-2016",139.79,0,144.9944444446,146.3,0.4016666665,0,0.152
"25-Jan-2016",139.82,143.7,144.857,146.3,0.3917,0.306,0.153
"29-Jan-2016",139.9,143.7,144.769,146.3,0.3832,0.306,0.155
"30-Jan-2016",139.94,143.66,144.733,146.3,0.3819,0.304,0.157
"31-Jan-2016",139.98,143.6,144.698,146.3,0.38,0.301,0.158
"01-Feb-2016",140.01,143.54,144.658,146.3,0.3779,0.299,0.159
"02-Feb-2016",140.04,143.45,144.623,146.3,0.3758,0.294,0.16
"03-Feb-2016",140.07,143.37,144.592,146.3,0.3744,0.291,0.161
"04-Feb-2016",140.09,143.3,144.55,146.3,0.3691,0.288,0.162
"05-Feb-2016",140.11,0,144.6633333335,146.3,0.3767777777,0,0.163
"06-Feb-2016",140.14,143.23,144.494,146.3,0.3661,0.284,0.164
"07-Feb-2016",140.17,143.2,144.46,146.3,0.3648,0.286,0.165
"08-Feb-2016",140.2,143.15,144.438,146.3,0.3632,0.281,0.166
"09-Feb-2016",140.16,143.11,144.404,146.3,0.3615,0.279,0.164
"10-Feb-2016",140.12,143.08,144.375,146.3,0.3601,0.278,0.163
"11-Feb-2016",140.07,143.03,144.348,146.3,0.3589,0.276,0.161
"12-Feb-2016",140.02,143.01,144.334,146.3,0.3584,0.275,0.16
"13-Feb-2016",139.98,142.96,144.308,146.3,0.3573,0.273,0.158
"14-Feb-2016",139.94,142.84,144.274,146.3,0.3555,0.268,0.157
"15-Feb-2016",139.89,142.74,144.233,146.3,0.354,0.264,0.155
"16-Feb-2016",139.86,142.65,144.203,146.3,0.3526,0.26,0.154
"17-Feb-2016",139.83,142.57,144.173,146.3,0.3512,0.256,0.153
"18-Feb-2016",139.8,142.5,144.122,146.3,0.3489,0.254,0.152
"19-Feb-2016",139.76,142.41,144.076,146.3,0.3466,0.25,0.151
"20-Feb-2016",139.72,142.35,144.03,146.3,0.3444,0.247,0.149
"21-Feb-2016",139.68,142.27,143.979,146.3,0.3421,0.244,0.148
"22-Feb-2016",139.63,142.17,143.923,146.3,0.3395,0.24,0.146
"23-Feb-2016",139.58,142.07,143.875,146.3,0.3372,0.236,0.144
"24-Feb-2016",139.53,142.05,143.845,146.3,0.336,0.235,0.143
"25-Feb-2016",139.49,142.02,143.798,146.3,0.3328,0.234,0.141
"26-Feb-2016",139.45,142,143.762,146.3,0.331,0.233,0.14
"27-Feb-2016",139.42,141.97,143.732,146.3,0.3297,0.232,0.139
"28-Feb-2016",139.42,141.93,143.696,146.3,0.3277,0.23,0.139
"29-Feb-2016",139.39,141.93,143.693,146.3,0.3276,0.23,0.138
"01-Mar-2016",139.39,141.93,143.659,146.3,0.3276,0.23,0.138
"02-Mar-2016",139.36,141.89,143.632,146.3,0.3262,0.227,0.138
"03-Mar-2016",139.33,141.81,143.597,146.3,0.3248,0.226,0.136
"04-Mar-2016",139.3,141.76,143.555,146.3,0.3231,0.224,0.135
"05-Mar-2016",139.26,0,143.7122222222,146.3,0.3323333334,0,0.134
"06-Mar-2016",139.22,0,143.6655555556,146.3,0.3302222222,0,0.133
"07-Mar-2016",139.19,0,143.6233333335,146.3,0.3283333332,0,0.132
"08-Mar-2016",139.15,0,143.5233333334,146.3,0.3265555554,0,0.131
"09-Mar-2016",139.11,141.5,143.329,146.3,0.3139,0.214,0.129
"10-Mar-2016",139.07,141.5,143.237,146.3,0.3099,0.214,0.128
"11-Mar-2016",139.03,141.45,143.186,146.3,0.3075,0.212,0.127
"15-Mar-2016",138.82,141.14,143.017,146.3,0.3003,0.2,0.123
"16-Mar-2016",138.8,141.05,142.966,146.3,0.2984,0.197,0.123
"18-Mar-2016",138.74,140.95,142.843,146.3,0.2929,0.193,0.118
"19-Mar-2016",138.7,0,143.0044444444,146.3,0.302,0,0.117
"20-Mar-2016",138.66,0,142.9344444446,146.3,0.2957777776,0,0.116
"21-Mar-2016",138.61,0,142.878888889,146.3,0.2933333333,0,0.114
"22-Mar-2016",138.56,0,142.8233333333,146.3,0.2874444444,0,0.113
"23-Mar-2016",138.52,140.53,142.493,146.3,0.2716,0.178,0.111
"25-Mar-2016",138.42,140.53,142.426,146.3,0.2691,0.178,0.109
"26-Mar-2016",138.38,140.45,142.374,146.3,0.2668,0.175,0.107
"27-Mar-2016",138.38,140.42,142.321,146.3,0.2644,0.174,0.107
"28-Mar-2016",138.38,140.38,142.239,146.3,0.2616,0.172,0.107
"30-Mar-2016",138.38,140.23,142.102,146.3,0.2546,0.167,0.107
"01-Apr-2016",138.05,140.11,141.937,146.3,0.2476,0.163,0.098
"02-Apr-2016",138.01,140.1,141.856,146.3,0.244,0.162,0.097
"03-Apr-2016",137.97,140.06,141.79,146.3,0.2414,0.161,0.097
"04-Apr-2016",137.92,139.98,141.703,146.3,0.2378,0.158,0.095
"05-Apr-2016",137.86,139.89,141.2922222222,146.3,0.2218888888,0.155,0.093
"06-Apr-2016",137.8,139.84,141.2222222223,146.3,0.2187777779,0.153,0.091
"07-Apr-2016",137.75,139.82,141.476,146.3,0.2282,0.153,0.09
"08-Apr-2016",137.69,139.81,141.1044444444,146.3,0.2147777778,0.152,0.089
"09-Apr-2016",137.63,139.8,141.331,146.3,0.2232,0.152,0.087
"10-Apr-2016",137.57,0,141.1125,146.3,0.217125,0,0.086
"11-Apr-2016",137.53,0,141.3722222223,146.3,0.2263333334,0,0.085
"12-Apr-2016",137.47,0,141.2788888888,146.3,0.2223333332,0,0.083
"13-Apr-2016",137.41,139.73,141.036,146.3,0.2118,0.15,0.082
"15-Apr-2016",137.3,0,140.9911111111,146.3,0.2111111111,0,0.079
"16-Apr-2016",137.25,139.36,140.731,146.3,0.1999,0.137,0.078
"17-Apr-2016",137.2,0,140.7722222223,146.3,0.2026666668,0,0.077
"18-Apr-2016",137.15,0,140.69,146.3,0.2004444443,0,0.076
"19-Apr-2016",137.1,0,140.5988888889,146.3,0.1968888889,0,0.075
"20-Apr-2016",137.04,138.69,140.253,146.3,0.1825,0.116,0.074
"21-Apr-2016",136.99,138.69,140.076,146.3,0.1759,0.116,0.073
"22-Apr-2016",136.94,0,140.0977777779,146.3,0.178,0,0.072
"23-Apr-2016",136.88,138.69,139.859,146.3,0.1688,0.116,0.071
"24-Apr-2016",136.82,0,139.9133333332,146.3,0.1712222222,0,0.069
"25-Apr-2016",136.76,0,139.8533333335,146.3,0.1687777778,0,0.068
"26-Apr-2016",136.7,0,139.7944444445,146.3,0.1669999999,0,0.067
"27-Apr-2016",136.64,138.31,139.607,146.3,0.1595,0.105,0.066
"28-Apr-2016",136.58,138.31,139.55,146.3,0.1577,0.105,0.065
"29-Apr-2016",136.51,138.27,139.504,146.3,0.1563,0.104,0.063
"30-Apr-2016",136.44,0,139.418888889,146.3,0.1605555555,0,0.062
"01-May-2016",136.38,138.19,139.407,146.3,0.1546,0.102,0.061
"02-May-2016",136.32,138.17,139.36,146.3,0.1527,0.101,0.059
"03-May-2016",136.24,138.12,138.9288888889,146.3,0.1387777778,0.1,0.058
"04-May-2016",136.19,138.07,138.8877777777,146.3,0.1378888888,0.099,0.057
"05-May-2016",136.14,138.01,139.227,146.3,0.149,0.097,0.056
"06-May-2016",136.09,137.95,138.8077777777,146.3,0.1352222223,0.095,0.055
"07-May-2016",136.04,137.91,139.102,146.3,0.1454,0.094,0.054
"08-May-2016",136,137.87,139.053,146.3,0.1439,0.093,0.053
"09-May-2016",135.95,137.83,139.019,146.3,0.1422,0.092,0.052
"10-May-2016",135.88,137.69,138.974,146.3,0.1411,0.089,0.051
"11-May-2016",135.84,137.66,138.94,146.3,0.14,0.088,0.05
