Daily Reservoir trends for Mettur reservoir from 01-Jan-1999 to 24-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2000",239.42,0,239.42,240.79,2.448,0,2.448
"02-Jan-2000",239.23,0,239.23,240.79,2.432,0,2.432
"03-Jan-2000",239.16,0,239.16,240.79,2.412,0,2.412
"04-Jan-2000",239.03,0,239.03,240.79,2.393,0,2.393
"05-Jan-2000",238.91,0,238.91,240.79,2.376,0,2.376
"06-Jan-2000",238.76,0,238.76,240.79,2.357,0,2.357
"07-Jan-2000",238.75,0,238.75,240.79,2.356,0,2.356
"08-Jan-2000",238.79,0,238.79,240.79,2.362,0,2.362
"09-Jan-2000",238.84,0,238.84,240.79,2.367,0,2.367
"10-Jan-2000",238.88,0,238.88,240.79,2.374,0,2.374
"11-Jan-2000",238.92,0,238.92,240.79,2.379,0,2.379
"12-Jan-2000",238.94,0,238.94,240.79,2.381,0,2.381
"13-Jan-2000",238.94,0,238.94,240.79,2.381,0,2.381
"14-Jan-2000",238.94,0,238.94,240.79,2.381,0,2.381
"15-Jan-2000",238.94,0,238.94,240.79,2.381,0,2.381
"16-Jan-2000",238.94,0,238.94,240.79,2.381,0,2.381
"17-Jan-2000",238.94,0,238.94,240.79,2.381,0,2.381
"18-Jan-2000",238.86,0,238.86,240.79,2.371,0,2.371
"19-Jan-2000",238.77,0,238.77,240.79,2.388,0,2.388
"20-Jan-2000",238.66,0,238.66,240.79,2.342,0,2.342
"21-Jan-2000",238.55,0,238.55,240.79,2.328,0,2.328
"22-Jan-2000",238.45,0,238.45,240.79,2.314,0,2.314
"23-Jan-2000",238.31,0,238.31,240.79,2.295,0,2.295
"24-Jan-2000",238.16,0,238.16,240.79,2.275,0,2.275
"25-Jan-2000",237.93,0,237.93,240.79,2.245,0,2.245
"26-Jan-2000",237.69,0,237.69,240.79,2.212,0,2.212
"27-Jan-2000",237.22,0,237.22,240.79,2.156,0,2.156
"28-Jan-2000",237.22,0,237.22,240.79,2.156,0,2.156
"29-Jan-2000",237.15,0,237.15,240.79,2.144,0,2.144
"30-Jan-2000",237.01,0,237.01,240.79,2.128,0,2.128
"31-Jan-2000",236.9,0,236.9,240.79,2.113,0,2.113
"01-Feb-2000",236.76,0,236.76,240.79,2.093,0,2.093
"02-Feb-2000",236.64,0,236.64,240.79,2.077,0,2.077
"03-Feb-2000",236.51,0,236.51,240.79,2.06,0,2.06
"04-Feb-2000",236.38,0,236.38,240.79,2.043,0,2.043
"05-Feb-2000",236.23,0,236.23,240.79,2.024,0,2.024
"06-Feb-2000",236.19,0,236.19,240.79,2.02,0,2.02
"07-Feb-2000",236.21,0,236.21,240.79,2.022,0,2.022
"08-Feb-2000",236.25,0,236.25,240.79,2.028,0,2.028
"09-Feb-2000",236.26,0,236.26,240.79,2.029,0,2.029
"10-Feb-2000",236.26,0,236.26,240.79,2.029,0,2.029
"11-Feb-2000",236.25,0,236.25,240.79,2.028,0,2.028
"12-Feb-2000",236.25,0,236.25,240.79,2.028,0,2.028
"13-Feb-2000",236.25,0,236.25,240.79,2.028,0,2.028
"14-Feb-2000",236.25,0,236.25,240.79,2.028,0,2.028
"15-Feb-2000",236.25,0,236.25,240.79,2.028,0,2.028
"16-Feb-2000",236.25,0,236.25,240.79,2.028,0,2.028
"17-Feb-2000",236.26,0,236.26,240.79,2.029,0,2.029
"18-Feb-2000",236.26,0,236.26,240.79,2.029,0,2.029
"19-Feb-2000",236.25,0,236.25,240.79,2.028,0,2.028
"20-Feb-2000",236.24,0,236.24,240.79,2.025,0,2.025
"21-Feb-2000",236.22,0,236.22,240.79,2.023,0,2.023
"22-Feb-2000",236.21,0,236.21,240.79,2.023,0,2.023
"23-Feb-2000",236.22,0,236.22,240.79,2.023,0,2.023
