Daily Reservoir trends for Panchat reservoir from 01-Jan-2016 to 01-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2016",121.24,123.38,124.232,124.97,0.1535,0.112,0.041
"02-Jan-2016",121.24,123.4,124.234,124.97,0.1536,0.113,0.041
"03-Jan-2016",121.24,123.43,124.236,124.97,0.1536,0.114,0.041
"04-Jan-2016",121.24,123.45,124.238,124.97,0.1537,0.115,0.041
"05-Jan-2016",121.23,123.47,124.238,124.97,0.1538,0.116,0.041
"06-Jan-2016",121.22,123.47,124.237,124.97,0.1538,0.116,0.041
"07-Jan-2016",121.21,123.47,124.236,124.97,0.1537,0.116,0.04
"08-Jan-2016",121.21,0,124.3211111114,124.97,0.1578888885,0,0.04
"09-Jan-2016",121.2,0,124.3200000003,124.97,0.1578888885,0,0.04
"10-Jan-2016",121.18,0,124.317777778,124.97,0.1578888885,0,0.04
"11-Jan-2016",121.17,0,124.3166666669,124.97,0.1577777774,0,0.039
"12-Jan-2016",121.17,123.5,124.233,124.97,0.1536,0.117,0.039
"15-Jan-2016",121.14,123.5,124.224,124.97,0.1534,0.117,0.039
"16-Jan-2016",121.13,0,124.296666667,124.97,0.1571111108,0,0.038
"17-Jan-2016",121.12,0,124.2888888892,124.97,0.1567777774,0,0.038
"18-Jan-2016",121.11,0,124.2811111115,124.97,0.1565555552,0,0.038
"19-Jan-2016",121.11,123.31,124.184,124.97,0.1518,0.109,0.038
"20-Jan-2016",121.1,123.31,124.182,124.97,0.1518,0.109,0.038
"21-Jan-2016",121.1,123.31,124.182,124.97,0.1518,0.109,0.038
"22-Jan-2016",121.1,0,124.2788888892,124.97,0.1565555552,0,0.038
"23-Jan-2016",121.11,0,124.2777777781,124.97,0.1564444441,0,0.038
"24-Jan-2016",121.11,0,124.2755555559,124.97,0.156333333,0,0.038
"25-Jan-2016",121.11,123.05,124.153,124.97,0.1506,0.099,0.038
"29-Jan-2016",121.07,123.05,124.142,124.97,0.1503,0.099,0.037
"30-Jan-2016",121.06,123,124.134,124.97,0.15,0.097,0.037
"31-Jan-2016",121.05,122.99,124.131,124.97,0.1499,0.097,0.036
"01-Feb-2016",121.04,122.88,124.113,124.97,0.1492,0.093,0.036
"02-Feb-2016",121.02,122.77,124.088,124.97,0.1481,0.088,0.036
