Daily Reservoir trends for Pench\totladoh reservoir from 01-Jan-1999 to 24-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-1999",487.26,0,487.26,490,0.891,0,0.891
"02-Jan-1999",487.2,0,487.2,490,0.887,0,0.887
"03-Jan-1999",487.16,0,487.16,490,0.884,0,0.884
"04-Jan-1999",487.1,0,487.1,490,0.88,0,0.88
"05-Jan-1999",487,0,487,490,0.877,0,0.877
"06-Jan-1999",487.01,0,487.01,490,0.874,0,0.874
"07-Jan-1999",486.96,0,486.96,490,0.871,0,0.871
"08-Jan-1999",486.9,0,486.9,490,0.865,0,0.865
"09-Jan-1999",486.83,0,486.83,490,0.862,0,0.862
"10-Jan-1999",486.75,0,486.75,490,0.857,0,0.857
"11-Jan-1999",486.66,0,486.66,490,0.85,0,0.85
"12-Jan-1999",486.63,0,486.63,490,0.885,0,0.885
"13-Jan-1999",486.58,0,486.58,490,0.884,0,0.884
"14-Jan-1999",486.51,0,486.51,490,0.84,0,0.84
"15-Jan-1999",486.46,0,486.46,490,0.837,0,0.837
"16-Jan-1999",486.43,0,486.43,490,0.834,0,0.834
"17-Jan-1999",486.34,0,486.34,490,0.829,0,0.829
"18-Jan-1999",486.26,0,486.26,490,0.823,0,0.823
"19-Jan-1999",486.15,0,486.15,490,0.816,0,0.816
"20-Jan-1999",486.04,0,486.04,490,0.809,0,0.809
"21-Jan-1999",485.92,0,485.92,490,0.801,0,0.801
"22-Jan-1999",485.82,0,485.82,490,0.794,0,0.794
"23-Jan-1999",485.73,0,485.73,490,0.789,0,0.789
"24-Jan-1999",485.66,0,485.66,490,0.784,0,0.784
"25-Jan-1999",485.55,0,485.55,490,0.777,0,0.777
"26-Jan-1999",485.49,0,485.49,490,0.773,0,0.773
"27-Jan-1999",485.42,0,485.42,490,0.769,0,0.769
"28-Jan-1999",485.3,0,485.3,490,0.761,0,0.761
"29-Jan-1999",485.2,0,485.2,490,0.755,0,0.755
"30-Jan-1999",485.13,0,485.13,490,0.751,0,0.751
"31-Jan-1999",485.05,0,485.05,490,0.745,0,0.745
"01-Feb-1999",484.97,0,484.97,490,0.741,0,0.741
"02-Feb-1999",484.91,0,484.91,490,0.737,0,0.737
"03-Feb-1999",484.85,0,484.85,490,0.733,0,0.733
"04-Feb-1999",484.78,0,484.78,490,0.729,0,0.729
"05-Feb-1999",484.78,0,484.78,490,0.729,0,0.729
"06-Feb-1999",484.76,0,484.76,490,0.727,0,0.727
"07-Feb-1999",484.7,0,484.7,490,0.724,0,0.724
"08-Feb-1999",484.68,0,484.68,490,0.723,0,0.723
"09-Feb-1999",484.68,0,484.68,490,0.723,0,0.723
"10-Feb-1999",484.68,0,484.68,490,0.723,0,0.723
"11-Feb-1999",484.66,0,484.66,490,0.721,0,0.721
"12-Feb-1999",484.6,0,484.6,490,0.718,0,0.718
"13-Feb-1999",484.54,0,484.54,490,0.714,0,0.714
"14-Feb-1999",484.5,0,484.5,490,0.711,0,0.711
"15-Feb-1999",484.45,0,484.45,490,0.708,0,0.708
"16-Feb-1999",484.4,0,484.4,490,0.705,0,0.705
"17-Feb-1999",484.35,0,484.35,490,0.702,0,0.702
"18-Feb-1999",484.31,0,484.31,490,0.699,0,0.699
"19-Feb-1999",484.28,0,484.28,490,0.698,0,0.698
"20-Feb-1999",484.24,0,484.24,490,0.695,0,0.695
"21-Feb-1999",484.16,0,484.16,490,0.69,0,0.69
"22-Feb-1999",484.07,0,484.07,490,0.685,0,0.685
"23-Feb-1999",484.01,0,484.01,490,0.681,0,0.681
"24-Feb-1999",483.95,0,483.95,490,0.677,0,0.677
"25-Feb-1999",483.86,0,483.86,490,0.672,0,0.672
"26-Feb-1999",483.73,0,483.73,490,0.665,0,0.665
"27-Feb-1999",483.66,0,483.66,490,0.661,0,0.661
"28-Feb-1999",483.61,0,483.61,490,0.658,0,0.658
"01-Mar-1999",483.55,0,483.55,490,0.655,0,0.655
"02-Mar-1999",483.46,0,483.46,490,0.65,0,0.65
"03-Mar-1999",483.38,0,483.38,490,0.645,0,0.645
"04-Mar-1999",483.31,0,483.31,490,0.642,0,0.642
"05-Mar-1999",483.24,0,483.24,490,0.637,0,0.637
"06-Mar-1999",483.15,0,483.15,490,0.632,0,0.632
"07-Mar-1999",483.01,0,483.01,490,0.624,0,0.624
"08-Mar-1999",482.92,0,482.92,490,0.619,0,0.619
"09-Mar-1999",482.83,0,482.83,490,0.614,0,0.614
"10-Mar-1999",482.77,0,482.77,490,0.611,0,0.611
"11-Mar-1999",482.68,0,482.68,490,0.605,0,0.605
"12-Mar-1999",482.59,0,482.59,490,0.6,0,0.6
"13-Mar-1999",482.53,0,482.53,490,0.597,0,0.597
