Daily Reservoir trends for India from 01-Jan-2015 to 24-Jan-2021

Dates,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2015",96.0061,110.081,90.187
"02-Jan-2015",95.6443,109.589,93.414
"03-Jan-2015",95.2415,109.683,93.094
"04-Jan-2015",94.8621,109.09,92.827
"05-Jan-2015",94.3928,108.625,91.85
"06-Jan-2015",93.9941,108.239,91.524
"07-Jan-2015",93.4165,107.663,91.227
"08-Jan-2015",92.9741,106.957,90.817
"09-Jan-2015",92.4508,106.415,90.974
"10-Jan-2015",91.8613,105.95,90.592
"11-Jan-2015",91.4064,105.381,90.259
"12-Jan-2015",90.8431,104.913,89.452
"13-Jan-2015",90.378,104.446,89.072
"14-Jan-2015",89.8526,104.141,88.078
"15-Jan-2015",89.3412,103.637,87.758
"16-Jan-2015",88.8178,103.15,87.268
"17-Jan-2015",88.2911,102.564,86.818
"18-Jan-2015",87.774,102.084,86.4
"19-Jan-2015",87.306,101.662,85.684
"20-Jan-2015",86.8132,101.085,85.151
"21-Jan-2015",86.3,100.317,84.679
"22-Jan-2015",85.8375,100.019,84.243
"23-Jan-2015",85.3244,99.74,83.773
"24-Jan-2015",84.7745,99.263,83.242
"25-Jan-2015",84.2752,98.84,82.721
"26-Jan-2015",83.6976,98.442,81.863
"27-Jan-2015",83.2743,98.062,81.64
"28-Jan-2015",82.727,97.547,81.225
"29-Jan-2015",82.2141,97.109,80.767
"30-Jan-2015",81.7599,96.718,80.136
"31-Jan-2015",81.2794,96.311,79.649
"01-Feb-2015",80.4631,95.723,79.169
"02-Feb-2015",79.9886,95.193,78.481
"03-Feb-2015",79.5165,94.759,77.901
"04-Feb-2015",79.0004,93.775,77.495
"05-Feb-2015",78.5059,93.267,77.17
"06-Feb-2015",78.0564,92.742,76.759
"07-Feb-2015",77.6007,92.269,76.266
"08-Feb-2015",77.001,91.807,75.842
"09-Feb-2015",76.4958,91.368,75.19
"10-Feb-2015",76.0224,90.629,74.692
"11-Feb-2015",75.5453,90.035,74.207
"12-Feb-2015",75.0627,89.413,73.866
"13-Feb-2015",74.5919,88.842,73.515
"14-Feb-2015",74.0777,88.319,72.82
"15-Feb-2015",73.5875,87.829,72.401
"16-Feb-2015",73.1079,87.356,71.581
