Daily Reservoir trends for Rihand reservoir from 01-Jan-1999 to 14-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2000",265.54,0,265.54,268.22,4.492,0,4.492
"02-Jan-2000",265.51,0,265.51,268.22,4.479,0,4.479
"03-Jan-2000",265.48,0,265.48,268.22,4.466,0,4.466
"04-Jan-2000",265.45,0,265.45,268.22,4.453,0,4.453
"05-Jan-2000",265.42,0,265.42,268.22,4.44,0,4.44
"06-Jan-2000",265.39,0,265.39,268.22,4.427,0,4.427
"07-Jan-2000",265.35,0,265.35,268.22,4.407,0,4.407
"08-Jan-2000",265.3,0,265.3,268.22,4.388,0,4.388
"09-Jan-2000",265.27,0,265.27,268.22,4.375,0,4.375
"10-Jan-2000",265.24,0,265.24,268.22,4.362,0,4.362
"11-Jan-2000",265.21,0,265.21,268.22,4.348,0,4.348
"12-Jan-2000",265.18,0,265.18,268.22,4.335,0,4.335
"13-Jan-2000",265.18,0,265.18,268.22,4.335,0,4.335
"14-Jan-2000",265.15,0,265.15,268.22,4.322,0,4.322
"15-Jan-2000",265.12,0,265.12,268.22,4.309,0,4.309
"16-Jan-2000",265.09,0,265.09,268.22,4.297,0,4.297
"17-Jan-2000",265.03,0,265.03,268.22,4.27,0,4.27
"18-Jan-2000",264.97,0,264.97,268.22,4.244,0,4.244
"19-Jan-2000",264.92,0,264.92,268.22,4.225,0,4.225
"20-Jan-2000",264.87,0,264.87,268.22,4.205,0,4.205
"21-Jan-2000",264.84,0,264.84,268.22,4.192,0,4.192
"22-Jan-2000",264.81,0,264.81,268.22,4.179,0,4.179
"23-Jan-2000",264.78,0,264.78,268.22,4.165,0,4.165
"24-Jan-2000",264.75,0,264.75,268.22,4.152,0,4.152
"25-Jan-2000",264.72,0,264.72,268.22,4.139,0,4.139
"26-Jan-2000",264.69,0,264.69,268.22,4.126,0,4.126
"27-Jan-2000",264.67,0,264.67,268.22,4.119,0,4.119
"28-Jan-2000",264.64,0,264.64,268.22,4.107,0,4.107
"29-Jan-2000",264.6,0,264.6,268.22,4.087,0,4.087
"30-Jan-2000",264.57,0,264.57,268.22,4.074,0,4.074
"31-Jan-2000",264.57,0,264.57,268.22,4.074,0,4.074
"01-Feb-2000",264.54,0,264.54,268.22,4.061,0,4.061
"02-Feb-2000",264.51,0,264.51,268.22,4.048,0,4.048
"03-Feb-2000",264.48,0,264.48,268.22,4.035,0,4.035
"04-Feb-2000",264.45,0,264.45,268.22,4.022,0,4.022
"05-Feb-2000",264.45,0,264.45,268.22,4.022,0,4.022
"06-Feb-2000",264.42,0,264.42,268.22,4.009,0,4.009
"07-Feb-2000",264.4,0,264.4,268.22,4.002,0,4.002
"08-Feb-2000",264.39,0,264.39,268.22,3.996,0,3.996
"09-Feb-2000",264.36,0,264.36,268.22,3.982,0,3.982
"10-Feb-2000",264.33,0,264.33,268.22,3.969,0,3.969
