Daily Reservoir trends for Sriram sagar from 01-Jan-1999 to 24-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Feb-2000",328.27,0,328.27,332.54,0.735,0,0.735
"02-Feb-2000",328.21,0,328.21,332.54,0.731,0,0.731
"03-Feb-2000",328.12,0,328.12,332.54,0.71,0,0.71
"04-Feb-2000",328.03,0,328.03,332.54,0.687,0,0.687
"05-Feb-2000",327.93,0,327.93,332.54,0.662,0,0.662
"06-Feb-2000",327.87,0,327.87,332.54,0.65,0,0.65
"07-Feb-2000",327.81,0,327.81,332.54,0.638,0,0.638
"08-Feb-2000",327.75,0,327.75,332.54,0.625,0,0.625
"09-Feb-2000",327.69,0,327.69,332.54,0.612,0,0.612
"10-Feb-2000",327.63,0,327.63,332.54,0.595,0,0.595
"11-Feb-2000",327.57,0,327.57,332.54,0.588,0,0.588
"12-Feb-2000",327.51,0,327.51,332.54,0.576,0,0.576
"13-Feb-2000",327.46,0,327.46,332.54,0.563,0,0.563
"14-Feb-2000",327.39,0,327.39,332.54,0.551,0,0.551
"15-Feb-2000",327.29,0,327.29,332.54,0.532,0,0.532
"16-Feb-2000",327.2,0,327.2,332.54,0.514,0,0.514
"17-Feb-2000",327.11,0,327.11,332.54,0.497,0,0.497
"18-Feb-2000",327.02,0,327.02,332.54,0.479,0,0.479
"19-Feb-2000",326.93,0,326.93,332.54,0.461,0,0.461
"20-Feb-2000",326.84,0,326.84,332.54,0.443,0,0.443
"21-Feb-2000",326.75,0,326.75,332.54,0.426,0,0.426
"22-Feb-2000",326.65,0,326.65,332.54,0.409,0,0.409
"23-Feb-2000",326.56,0,326.56,332.54,0.392,0,0.392
"24-Feb-2000",326.47,0,326.47,332.54,0.375,0,0.375
"25-Feb-2000",326.38,0,326.38,332.54,0.358,0,0.358
"26-Feb-2000",326.29,0,326.29,332.54,0.342,0,0.342
"27-Feb-2000",326.25,0,326.25,332.54,0.335,0,0.335
"28-Feb-2000",326.21,0,326.21,332.54,0.327,0,0.327
"29-Feb-2000",326.11,0,326.11,332.54,0.309,0,0.309
"01-Mar-2000",325.92,0,325.92,332.54,0.274,0,0.274
"02-Mar-2000",325.83,0,325.83,332.54,0.258,0,0.258
"03-Mar-2000",325.74,0,325.74,332.54,0.242,0,0.242
"04-Mar-2000",325.65,0,325.65,332.54,0.226,0,0.226
"05-Mar-2000",325.56,0,325.56,332.54,0.21,0,0.21
"06-Mar-2000",325.47,0,325.47,332.54,0.195,0,0.195
"07-Mar-2000",325.34,0,325.34,332.54,0.172,0,0.172
"08-Mar-2000",325.22,0,325.22,332.54,0.151,0,0.151
"09-Mar-2000",325.16,0,325.16,332.54,0.141,0,0.141
"10-Mar-2000",325.1,0,325.1,332.54,0.131,0,0.131
"11-Mar-2000",324.89,0,324.89,332.54,0.095,0,0.095
"12-Mar-2000",324.77,0,324.77,332.54,0.075,0,0.075
"13-Mar-2000",324.64,0,324.64,332.54,0.055,0,0.055
"14-Mar-2000",324.55,0,324.55,332.54,0.041,0,0.041
"15-Mar-2000",324.46,0,324.46,332.54,0.026,0,0.026
"16-Mar-2000",324.34,0,324.34,332.54,0.007,0,0.007
"17-Mar-2000",324.23,0,324.23,332.54,0,0,0
"18-Mar-2000",324.12,0,324.12,332.54,0,0,0
"19-Mar-2000",324,0,324,332.54,0,0,0
"20-Mar-2000",323.88,0,323.88,332.54,0,0,0
"21-Mar-2000",323.76,0,323.76,332.54,0,0,0
"22-Mar-2000",323.64,0,323.64,332.54,0,0,0
"23-Mar-2000",323.55,0,323.55,332.54,0,0,0
"24-Mar-2000",323.42,0,323.42,332.54,0,0,0
"25-Mar-2000",323.3,0,323.3,332.54,0,0,0
"26-Mar-2000",323.18,0,323.18,332.54,0,0,0
"27-Mar-2000",323.06,0,323.06,332.54,0,0,0
"28-Mar-2000",322.91,0,322.91,332.54,0,0,0
"29-Mar-2000",322.78,0,322.78,332.54,0,0,0
"30-Mar-2000",322.63,0,322.63,332.54,0,0,0
"31-Mar-2000",322.48,0,322.48,332.54,0,0,0
"01-Apr-2000",322.33,0,322.33,332.54,0,0,0
"02-Apr-2000",322.17,0,322.17,332.54,0,0,0
"03-Apr-2000",322.02,0,322.02,332.54,0,0,0
"04-Apr-2000",321.87,0,321.87,332.54,0,0,0
"05-Apr-2000",321.65,0,321.65,332.54,0,0,0
"06-Apr-2000",321.44,0,321.44,332.54,0,0,0
"07-Apr-2000",321.31,0,321.31,332.54,0,0,0
"08-Apr-2000",321.17,0,321.17,332.54,0,0,0
"09-Apr-2000",320.47,0,320.47,332.54,0,0,0
"10-Apr-2000",319.89,0,319.89,332.54,0,0,0
"11-Apr-2000",319.89,0,319.89,332.54,0,0,0
"12-Apr-2000",319.86,0,319.86,332.54,0,0,0
"13-Apr-2000",319.83,0,319.83,332.54,0,0,0
"14-Apr-2000",319.8,0,319.8,332.54,0,0,0
"15-Apr-2000",319.77,0,319.77,332.54,0,0,0
"16-Apr-2000",319.74,0,319.74,332.54,0,0,0
"17-Apr-2000",319.74,0,319.74,332.54,0,0,0
"18-Apr-2000",319.74,0,319.74,332.54,0,0,0
"19-Apr-2000",319.74,0,319.74,332.54,0,0,0
"20-Apr-2000",319.74,0,319.74,332.54,0,0,0
"21-Apr-2000",319.72,0,319.72,332.54,0,0,0
"22-Apr-2000",319.7,0,319.7,332.54,0,0,0
"23-Apr-2000",319.68,0,319.68,332.54,0,0,0
"24-Apr-2000",319.67,0,319.67,332.54,0,0,0
"25-Apr-2000",319.67,0,319.67,332.54,0,0,0
"26-Apr-2000",319.64,0,319.64,332.54,0,0,0
"27-Apr-2000",319.61,0,319.61,332.54,0,0,0
"28-Apr-2000",319.56,0,319.56,332.54,0,0,0
"29-Apr-2000",319.53,0,319.53,332.54,0,0,0
"30-Apr-2000",319.49,0,319.49,332.54,0,0,0
"01-May-2000",319.49,0,319.49,332.54,0,0,0
"02-May-2000",319.49,0,319.49,332.54,0,0,0
"03-May-2000",319.43,0,319.43,332.54,0,0,0
"04-May-2000",319.43,0,319.43,332.54,0,0,0
"05-May-2000",319.4,0,319.4,332.54,0,0,0
"06-May-2000",319.4,0,319.4,332.54,0,0,0
"07-May-2000",319.37,0,319.37,332.54,0,0,0
"08-May-2000",319.37,0,319.37,332.54,0,0,0
"09-May-2000",319.37,0,319.37,332.54,0,0,0
"10-May-2000",319.37,0,319.37,332.54,0,0,0
"11-May-2000",319.37,0,319.37,332.54,0,0,0
"12-May-2000",319.37,0,319.37,332.54,0,0,0
"13-May-2000",319.37,0,319.37,332.54,0,0,0
"14-May-2000",319.34,0,319.34,332.54,0,0,0
"15-May-2000",319.34,0,319.34,332.54,0,0,0
"16-May-2000",319.34,0,319.34,332.54,0,0,0
"17-May-2000",319.34,0,319.34,332.54,0,0,0
"18-May-2000",319.34,0,319.34,332.54,0,0,0
"19-May-2000",319.34,0,319.34,332.54,0,0,0
"20-May-2000",319.34,0,319.34,332.54,0,0,0
"21-May-2000",319.34,0,319.34,332.54,0,0,0
"22-May-2000",319.34,0,319.34,332.54,0,0,0
"23-May-2000",319.34,0,319.34,332.54,0,0,0
"24-May-2000",319.34,0,319.34,332.54,0,0,0
"25-May-2000",319.34,0,319.34,332.54,0,0,0
"26-May-2000",319.34,0,319.34,332.54,0,0,0
"27-May-2000",319.31,0,319.31,332.54,0,0,0
"28-May-2000",319.31,0,319.31,332.54,0,0,0
"29-May-2000",319.31,0,319.31,332.54,0,0,0
"30-May-2000",319.31,0,319.31,332.54,0,0,0
"31-May-2000",319.31,0,319.31,332.54,0,0,0
"01-Jun-2000",319.28,0,319.28,332.54,0,0,0
"02-Jun-2000",319.28,0,319.28,332.54,0,0,0
"03-Jun-2000",319.28,0,319.28,332.54,0,0,0
"04-Jun-2000",319.28,0,319.28,332.54,0,0,0
"05-Jun-2000",319.28,0,319.28,332.54,0,0,0
"06-Jun-2000",319.28,0,319.28,332.54,0,0,0
"07-Jun-2000",319.28,0,319.28,332.54,0,0,0
"08-Jun-2000",319.28,0,319.28,332.54,0,0,0
"09-Jun-2000",319.28,0,319.28,332.54,0,0,0
"10-Jun-2000",319.31,0,319.31,332.54,0,0,0
"11-Jun-2000",320.13,0,320.13,332.54,0,0,0
"12-Jun-2000",322.54,0,322.54,332.54,0,0,0
"13-Jun-2000",323.18,0,323.18,332.54,0,0,0
"14-Jun-2000",323.82,0,323.82,332.54,0,0,0
"15-Jun-2000",324.19,0,324.19,332.54,0,0,0
"16-Jun-2000",324.33,0,324.33,332.54,0.003,0,0.003
"17-Jun-2000",324.4,0,324.4,332.54,0.017,0,0.017
"18-Jun-2000",324.43,0,324.43,332.54,0.022,0,0.022
"19-Jun-2000",324.46,0,324.46,332.54,0.027,0,0.027
"20-Jun-2000",324.52,0,324.52,332.54,0.037,0,0.037
"21-Jun-2000",324.52,0,324.52,332.54,0.037,0,0.037
"22-Jun-2000",324.52,0,324.52,332.54,0.037,0,0.037
"23-Jun-2000",324.52,0,324.52,332.54,0.037,0,0.037
"24-Jun-2000",324.52,0,324.52,332.54,0.037,0,0.037
"25-Jun-2000",324.52,0,324.52,332.54,0.037,0,0.037
"26-Jun-2000",324.52,0,324.52,332.54,0.037,0,0.037
"27-Jun-2000",324.52,0,324.52,332.54,0.037,0,0.037
"28-Jun-2000",324.52,0,324.52,332.54,0.037,0,0.037
"29-Jun-2000",324.58,0,324.58,332.54,0.047,0,0.047
"30-Jun-2000",324.64,0,324.64,332.54,0.057,0,0.057
"01-Jul-2000",324.76,0,324.76,332.54,0.596,0,0.596
"02-Jul-2000",325,0,325,332.54,0.635,0,0.635
"03-Jul-2000",325.22,0,325.22,332.54,0.151,0,0.151
"04-Jul-2000",325.83,0,325.83,332.54,0.764,0,0.764
"05-Jul-2000",326.22,0,326.22,332.54,0.836,0,0.836
"06-Jul-2000",326.44,0,326.44,332.54,0.878,0,0.878
"07-Jul-2000",326.59,0,326.59,332.54,0.908,0,0.908
"08-Jul-2000",326.72,0,326.72,332.54,0.632,0,0.632
"09-Jul-2000",326.83,0,326.83,332.54,0.956,0,0.956
"10-Jul-2000",327.23,0,327.23,332.54,0.521,0,0.521
"11-Jul-2000",327.62,0,327.62,332.54,0.596,0,0.596
"12-Jul-2000",328,0,328,332.54,0.68,0,0.68
"13-Jul-2000",328.3,0,328.3,332.54,0.75,0,0.75
"14-Jul-2000",328.75,0,328.75,332.54,0.876,0,0.876
"15-Jul-2000",329,0,329,332.54,0.952,0,0.952
"16-Jul-2000",329.12,0,329.12,332.54,0.991,0,0.991
"17-Jul-2000",329.24,0,329.24,332.54,1.03,0,1.03
"18-Jul-2000",329.33,0,329.33,332.54,1.065,0,1.065
"19-Jul-2000",329.4,0,329.4,332.54,1.086,0,1.086
"20-Jul-2000",329.52,0,329.52,332.54,1.129,0,1.129
"21-Jul-2000",329.55,0,329.55,332.54,1.14,0,1.14
"22-Jul-2000",329.64,0,329.64,332.54,1.172,0,1.172
"23-Jul-2000",329.64,0,329.64,332.54,1.172,0,1.172
"24-Jul-2000",329.64,0,329.64,332.54,1.172,0,1.172
"25-Jul-2000",329.61,0,329.61,332.54,1.162,0,1.162
"26-Jul-2000",329.58,0,329.58,332.54,1.151,0,1.151
"27-Jul-2000",329.58,0,329.58,332.54,1.151,0,1.151
"28-Jul-2000",329.55,0,329.55,332.54,1.14,0,1.14
"29-Jul-2000",329.52,0,329.52,332.54,1.129,0,1.129
"30-Jul-2000",329.49,0,329.49,332.54,1.12,0,1.12
"31-Jul-2000",329.43,0,329.43,332.54,1.096,0,1.096
"01-Aug-2000",329.37,0,329.37,332.54,0.66,0,0.66
"02-Aug-2000",329.3,0,329.3,332.54,0.644,0,0.644
"03-Aug-2000",329.28,0,329.28,332.54,0.659,0,0.659
"04-Aug-2000",329.25,0,329.25,332.54,0.627,0,0.627
"05-Aug-2000",329.15,0,329.15,332.54,0.604,0,0.604
"06-Aug-2000",329.09,0,329.09,332.54,0.589,0,0.589
"07-Aug-2000",329.03,0,329.03,332.54,0.961,0,0.961
"08-Aug-2000",329,0,329,332.54,0.966,0,0.966
"09-Aug-2000",328.94,0,328.94,332.54,0.932,0,0.932
"10-Aug-2000",328.94,0,328.94,332.54,0.932,0,0.932
"11-Aug-2000",329.15,0,329.15,332.54,1.002,0,1.002
"12-Aug-2000",330.8,0,330.8,332.54,1.543,0,1.543
"13-Aug-2000",331.68,0,331.68,332.54,1.938,0,1.938
"14-Aug-2000",331.92,0,331.92,332.54,2.059,0,2.059
