Daily Reservoir trends for Tenughat reservoir from 01-Jan-2016 to 01-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2016",258.26,259.23,259.787,269.14,0.3676,0.386,0.351
"02-Jan-2016",258.24,259.23,259.774,269.14,0.3672,0.386,0.351
"03-Jan-2016",258.23,259.22,259.775,269.14,0.3673,0.386,0.35
"04-Jan-2016",258.21,259.22,259.768,269.14,0.3671,0.386,0.35
"05-Jan-2016",258.2,259.2,259.759,269.14,0.3665,0.385,0.349
"06-Jan-2016",258.18,259.2,259.75,269.14,0.3661,0.385,0.349
"07-Jan-2016",258.17,259.2,259.745,269.14,0.3659,0.385,0.348
"08-Jan-2016",258.14,0,259.7911111111,269.14,0.3631111114,0,0.347
"09-Jan-2016",258.12,0,259.7755555556,269.14,0.3625555557,0,0.346
"10-Jan-2016",258.1,0,259.7733333333,269.14,0.3625555556,0,0.346
"11-Jan-2016",258.09,0,259.7622222224,269.14,0.362,0,0.345
"12-Jan-2016",258.07,259.19,259.7,269.14,0.3643,0.385,0.345
"15-Jan-2016",258.03,259.19,259.67,269.14,0.363,0.385,0.343
"16-Jan-2016",258.01,0,259.7111111111,269.14,0.3600000001,0,0.342
"17-Jan-2016",258,0,259.7022222222,269.14,0.3597777778,0,0.342
"18-Jan-2016",258,0,259.6922222223,269.14,0.3591111111,0,0.342
"19-Jan-2016",257.98,259.11,259.621,269.14,0.361,0.38,0.342
"20-Jan-2016",257.97,259.11,259.616,269.14,0.3605,0.38,0.341
"21-Jan-2016",257.97,259.11,259.606,269.14,0.3602,0.38,0.341
"22-Jan-2016",257.94,0,259.6499999998,269.14,0.3574444444,0,0.34
"23-Jan-2016",257.92,0,259.6355555555,269.14,0.357,0,0.34
"24-Jan-2016",257.91,0,259.6233333334,269.14,0.3562222223,0,0.339
"25-Jan-2016",257.91,259.11,259.561,269.14,0.3581,0.38,0.339
"29-Jan-2016",257.86,259.05,259.502,269.14,0.3561,0.38,0.338
"30-Jan-2016",257.85,259.05,259.493,269.14,0.3558,0.38,0.337
"31-Jan-2016",257.83,259.03,259.48,269.14,0.3552,0.379,0.337
"01-Feb-2016",257.82,259.02,259.459,269.14,0.3542,0.379,0.336
"02-Feb-2016",257.8,259,259.439,269.14,0.3534,0.378,0.336
"03-Feb-2016",257.78,258.99,259.421,269.14,0.3528,0.377,0.335
"04-Feb-2016",257.77,258.99,259.404,269.14,0.3521,0.377,0.335
