Daily Reservoir trends for Tilaiya reservoir from 01-Jan-1999 to 24-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2000",368.81,0,368.81,368.81,0.142,0,0.142
"02-Jan-2000",368.81,0,368.81,368.81,0.142,0,0.142
"03-Jan-2000",368.81,0,368.81,368.81,0.142,0,0.142
"04-Jan-2000",368.81,0,368.81,368.81,0.142,0,0.142
"05-Jan-2000",368.81,0,368.81,368.81,0.142,0,0.142
"06-Jan-2000",368.81,0,368.81,368.81,0.142,0,0.142
"07-Jan-2000",368.8,0,368.8,368.81,0.141,0,0.141
"08-Jan-2000",368.75,0,368.75,368.81,0.14,0,0.14
"09-Jan-2000",368.7,0,368.7,368.81,0.138,0,0.138
"10-Jan-2000",368.81,0,368.81,368.81,0.142,0,0.142
"11-Jan-2000",368.6,0,368.6,368.81,0.134,0,0.134
"12-Jan-2000",368.58,0,368.58,368.81,0.133,0,0.133
"13-Jan-2000",368.5,0,368.5,368.81,0.13,0,0.13
"14-Jan-2000",368.45,0,368.45,368.81,0.129,0,0.129
"15-Jan-2000",368.4,0,368.4,368.81,0.128,0,0.128
"16-Jan-2000",368.37,0,368.37,368.81,0.127,0,0.127
"17-Jan-2000",368.33,0,368.33,368.81,0.126,0,0.126
"18-Jan-2000",368.28,0,368.28,368.81,0.125,0,0.125
"19-Jan-2000",368.23,0,368.23,368.81,0.124,0,0.124
"20-Jan-2000",368.18,0,368.18,368.81,0.122,0,0.122
"21-Jan-2000",368.12,0,368.12,368.81,0.121,0,0.121
"22-Jan-2000",368.03,0,368.03,368.81,0.119,0,0.119
"23-Jan-2000",367.96,0,367.96,368.81,0.116,0,0.116
"24-Jan-2000",367.96,0,367.96,368.81,0.116,0,0.116
"25-Jan-2000",368.81,0,368.81,368.81,0.115,0,0.115
"26-Jan-2000",367.88,0,367.88,368.81,0.113,0,0.113
"27-Jan-2000",367.82,0,367.82,368.81,0.11,0,0.11
"28-Jan-2000",367.76,0,367.76,368.81,0.107,0,0.107
"29-Jan-2000",367.7,0,367.7,368.81,0.105,0,0.105
"30-Jan-2000",367.65,0,367.65,368.81,0.102,0,0.102
"31-Jan-2000",367.71,0,367.71,368.81,0.099,0,0.099
"01-Feb-2000",367.51,0,367.51,368.81,0.096,0,0.096
"02-Feb-2000",367.45,0,367.45,368.81,0.094,0,0.094
"03-Feb-2000",367.39,0,367.39,368.81,0.092,0,0.092
"04-Feb-2000",367.39,0,367.39,368.81,0.092,0,0.092
"05-Feb-2000",367.33,0,367.33,368.81,0.09,0,0.09
"06-Feb-2000",367.27,0,367.27,368.81,0.088,0,0.088
"07-Feb-2000",367.22,0,367.22,368.81,0.087,0,0.087
"08-Feb-2000",367.17,0,367.17,368.81,0.085,0,0.085
"09-Feb-2000",367.12,0,367.12,368.81,0.084,0,0.084
"10-Feb-2000",367.06,0,367.06,368.81,0.082,0,0.082
"11-Feb-2000",366.99,0,366.99,368.81,0.08,0,0.08
"12-Feb-2000",366.99,0,366.99,368.81,0.08,0,0.08
"13-Feb-2000",366.92,0,366.92,368.81,0.078,0,0.078
"14-Feb-2000",366.87,0,366.87,368.81,0.076,0,0.076
"15-Feb-2000",366.84,0,366.84,368.81,0.076,0,0.076
"16-Feb-2000",366.81,0,366.81,368.81,0.075,0,0.075
"17-Feb-2000",366.76,0,366.76,368.81,0.073,0,0.073
"18-Feb-2000",366.7,0,366.7,368.81,0.072,0,0.072
"19-Feb-2000",366.62,0,366.62,368.81,0.069,0,0.069
"20-Feb-2000",366.57,0,366.57,368.81,0.068,0,0.068
"21-Feb-2000",366.52,0,366.52,368.81,0.066,0,0.066
"22-Feb-2000",366.46,0,366.46,368.81,0.065,0,0.065
"23-Feb-2000",366.4,0,366.4,368.81,0.063,0,0.063
"24-Feb-2000",366.34,0,366.34,368.81,0.062,0,0.062
"25-Feb-2000",366.28,0,366.28,368.81,0.06,0,0.06
"26-Feb-2000",366.16,0,366.16,368.81,0.057,0,0.057
"27-Feb-2000",366.09,0,366.09,368.81,0.055,0,0.055
