Daily Reservoir trends for Indira sagar from 01-Jan-2016 to 01-Jan-2021

Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2016",256.92,258.18,255.569,262.13,4.9021,6.544,5.768
"02-Jan-2016",256.84,258.21,255.529,262.13,4.8772,6.562,5.688
"03-Jan-2016",256.8,258.17,255.486,262.13,4.8585,6.537,5.648
"04-Jan-2016",256.75,258.13,255.428,262.13,4.8217,6.506,5.598
"05-Jan-2016",256.7,258.12,255.369,262.13,4.7904,6.498,5.549
"06-Jan-2016",256.66,258.09,255.322,262.13,4.763,6.474,5.509
"07-Jan-2016",256.61,258.04,255.263,262.13,4.7268,6.434,5.464
"08-Jan-2016",256.59,257.99,255.204,262.13,4.6894,6.394,5.448
"09-Jan-2016",256.54,257.91,255.144,262.13,4.6503,6.331,5.407
"10-Jan-2016",256.51,257.8,255.08,262.13,4.613,6.266,5.382
"11-Jan-2016",256.47,257.66,255.016,262.13,4.5792,6.209,5.349
"12-Jan-2016",256.45,257.6,254.911,262.13,4.5193,6.182,5.333
"13-Jan-2016",256.41,257.53,254.857,262.13,4.4914,6.144,5.3
"14-Jan-2016",256.38,257.46,254.798,262.13,4.4584,6.088,5.275
"15-Jan-2016",256.33,257.35,254.729,262.13,4.4177,6,5.241
"16-Jan-2016",256.31,257.27,254.583,262.13,4.3305,5.937,5.238
"17-Jan-2016",256.3,257.19,254.522,262.13,4.2957,5.896,5.236
"18-Jan-2016",256.27,257.11,254.462,262.13,4.2642,5.863,5.231
"19-Jan-2016",256.26,257,254.402,262.13,4.2343,5.818,5.23
"20-Jan-2016",256.24,256.88,254.335,262.13,4.1992,5.728,5.226
"21-Jan-2016",256.2,256.79,254.276,262.13,4.1663,5.638,5.22
"22-Jan-2016",256.17,256.68,254.218,262.13,4.1344,5.529,5.215
"23-Jan-2016",256.12,256.63,254.259,262.13,4.1083,5.481,5.207
"24-Jan-2016",256.04,256.56,254.099,262.13,4.0786,5.423,5.195
"25-Jan-2016",255.96,256.44,254.035,262.13,4.0377,5.325,5.104
"26-Jan-2016",255.83,256.3,253.911,262.13,3.9525,5.236,4.938
"27-Jan-2016",255.72,256.19,253.846,262.13,3.9124,5.218,4.805
"28-Jan-2016",255.65,256.08,253.774,262.13,3.8781,5.201,4.763
"29-Jan-2016",255.58,256.02,253.705,262.13,3.8465,5.18,4.721
"30-Jan-2016",255.52,255.98,253.64,262.13,3.8103,5.129,4.685
"31-Jan-2016",255.46,255.91,253.585,262.13,3.7693,5.04,4.649
"01-Feb-2016",255.41,255.86,253.519,262.13,3.7261,4.976,4.619
"02-Feb-2016",255.33,255.83,253.455,262.13,3.6857,4.938,4.57
"03-Feb-2016",255.28,255.75,253.389,262.13,3.637,4.836,4.539
"04-Feb-2016",255.23,255.64,253.318,262.13,3.5963,4.757,4.508
"05-Feb-2016",255.18,255.53,253.259,262.13,3.5632,4.691,4.478
"06-Feb-2016",255.13,255.45,253.207,262.13,3.5336,4.644,4.447
"07-Feb-2016",255.04,255.35,253.143,262.13,3.4973,4.582,4.393
"08-Feb-2016",254.98,255.26,253.069,262.13,3.46,4.527,4.357
"09-Feb-2016",254.93,255.23,253.032,262.13,3.4388,4.508,4.327
"10-Feb-2016",254.88,255.17,252.994,262.13,3.4164,4.471,4.297
"11-Feb-2016",254.83,255.14,252.961,262.13,3.4011,4.453,4.267
"12-Feb-2016",254.78,255.15,252.909,262.13,3.3781,4.459,4.231
"13-Feb-2016",254.67,255.14,252.88,262.13,3.361,4.453,4.14
"14-Feb-2016",254.58,255.1,252.852,262.13,3.3447,4.429,4.066
"15-Feb-2016",254.48,255.02,252.795,262.13,3.3189,4.381,4.003
"16-Feb-2016",254.43,255,252.776,262.13,3.3116,4.369,3.993
"17-Feb-2016",254.39,254.98,252.723,262.13,3.2858,4.357,3.985
"18-Feb-2016",254.34,254.94,252.784,262.13,3.2657,4.333,3.975
"19-Feb-2016",254.27,254.86,252.611,262.13,3.2363,4.285,3.961
"20-Feb-2016",254.22,254.71,252.558,262.13,3.2108,4.173,3.951
"21-Feb-2016",254.18,254.61,252.508,262.13,3.1867,4.091,3.931
"22-Feb-2016",254.11,254.55,252.464,262.13,3.1623,4.042,3.873
"23-Feb-2016",254.01,254.47,252.411,262.13,3.1349,4.001,3.791
"24-Feb-2016",253.96,254.41,252.372,262.13,3.1167,3.991,3.75
"25-Feb-2016",253.9,254.3,252.329,262.13,3.0966,3.967,3.7
"26-Feb-2016",253.87,254.23,252.29,262.13,3.0759,3.953,3.677
"27-Feb-2016",253.86,254.17,252.255,262.13,3.0561,3.922,3.669
"28-Feb-2016",253.83,254.1,252.194,262.13,3.0196,3.865,3.645
"29-Feb-2016",253.77,254.1,252.188,262.13,3.0148,3.865,3.597
"01-Mar-2016",253.73,254.05,251.893,262.13,2.9285,3.824,3.565
"02-Mar-2016",253.7,254.09,251.916,262.13,2.9291,3.857,3.541
"03-Mar-2016",253.67,254.08,251.931,262.13,2.9229,3.848,3.517
"04-Mar-2016",253.61,254.02,251.926,262.13,2.9034,3.799,3.47
"05-Mar-2016",253.55,253.95,251.892,262.13,2.8797,3.742,3.45
"06-Mar-2016",253.43,253.86,251.852,262.13,2.863,3.669,3.441
"07-Mar-2016",253.31,253.82,251.82,262.13,2.8531,3.637,3.431
"08-Mar-2016",253.19,253.76,251.726,262.13,2.8081,3.589,3.397
"09-Mar-2016",253.07,253.61,251.67,262.13,2.779,3.47,3.359
"10-Mar-2016",252.96,253.55,251.632,262.13,2.7613,3.45,3.314
"11-Mar-2016",252.84,253.5,251.568,262.13,2.736,3.446,3.215
"12-Mar-2016",252.75,253.5,251.538,262.13,2.7194,3.446,3.141
"13-Mar-2016",252.69,253.49,251.506,262.13,2.701,3.445,3.092
"14-Mar-2016",252.68,253.46,251.473,262.13,2.6933,3.443,3.084
"15-Mar-2016",252.64,253.45,251.446,262.13,2.6778,3.442,3.068
"16-Mar-2016",252.64,253.38,251.419,262.13,2.6685,3.436,3.068
"17-Mar-2016",252.6,253.29,251.31,262.13,2.6275,3.429,3.052
"18-Mar-2016",252.57,253.22,251.243,262.13,2.5769,3.407,3.04
"19-Mar-2016",252.53,253.17,251.191,262.13,2.5586,3.391,3.024
"20-Mar-2016",252.48,253.09,251.137,262.13,2.5367,3.365,3.004
"21-Mar-2016",252.43,253.02,251.084,262.13,2.5152,3.343,2.984
"22-Mar-2016",252.37,252.92,251.026,262.13,2.4885,3.281,2.96
"23-Mar-2016",252.31,252.82,250.963,262.13,2.4557,3.199,2.923
"24-Mar-2016",252.27,252.7,250.905,262.13,2.427,3.1,2.899
