JD,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2016,y2018,y2019,y2020,y2021
0.0,265.54,262.71,263.78,261.61,262.74,256.95,259.17,258.23,258.17,259.81,258.02,257.22,263.53,261.67,260.79,258.84,261.09,260.79,262.25,262.59
1.0,265.51,262.74,263.72,261.53,262.68,256.95,259.14,258.23,258.14,259.78,257.02,257.19,263.53,261.61,260.76,258.81,261.06,260.73,262.19,262.52
2.0,265.48,262.71,263.66,261.55,262.65,256.95,259.11,258.2,258.11,259.75,257.02,257.19,263.53,261.55,260.73,258.81,261.0,260.7,262.13,262.46
3.0,265.45,262.65,263.63,261.55,262.59,256.95,259.08,258.2,258.08,259.75,257.98,257.16,263.53,261.52,260.7,258.81,260.94,260.63,262.1,262.4
4.0,265.42,262.59,263.57,261.52,262.53,256.95,259.05,258.17,258.05,259.72,257.95,257.13,263.5,261.46,260.67,258.78,260.85,260.57,262.04,262.37
5.0,265.39,262.53,263.51,261.52,262.47,256.95,259.05,258.17,258.05,259.66,257.92,257.07,263.47,261.43,260.64,0.0,260.79,260.54,262.01,262.37
6.0,265.35,262.47,263.44,261.49,262.41,256.92,259.05,258.14,258.02,259.63,257.86,257.04,263.44,261.4,260.61,0.0,260.73,260.48,261.95,262.31
7.0,265.3,262.41,263.38,261.46,262.34,256.92,258.96,258.11,257.99,259.67,257.83,257.01,263.44,261.37,260.58,258.75,260.7,260.45,261.92,262.28
8.0,265.27,262.34,263.32,261.43,262.28,256.92,258.96,258.08,257.99,259.54,257.8,257.01,263.41,261.31,260.55,258.75,260.63,260.39,0.0,262.25
9.0,265.24,262.28,263.26,261.43,262.22,256.92,258.96,258.05,257.95,259.51,257.77,257.01,263.41,261.25,260.52,258.72,260.57,260.33,0.0,262.19
10.0,265.21,262.22,263.2,261.43,262.17,256.92,258.84,258.02,257.92,259.45,257.74,256.98,263.38,261.19,260.48,258.69,260.51,260.27,0.0,262.13
11.0,265.18,262.16,263.14,261.4,262.07,256.89,258.81,257.99,257.89,259.42,257.68,256.98,263.35,261.12,260.48,258.69,260.45,260.21,0.0,262.07
12.0,265.18,262.1,263.08,261.37,262.01,256.89,258.81,257.95,257.89,259.39,257.65,256.95,263.32,261.06,260.45,258.69,260.39,260.12,0.0,262.01
13.0,265.15,262.03,263.02,261.34,261.92,256.89,258.81,257.92,257.86,259.36,257.65,256.92,263.29,261.0,260.42,258.66,260.33,260.06,0.0,261.95
14.0,265.12,261.95,262.95,261.31,261.83,256.89,258.72,257.89,257.83,259.36,257.62,256.92,263.26,260.94,260.39,258.63,260.3,260.02,0.0,0.0
15.0,265.09,261.89,262.92,261.28,261.77,256.86,258.72,257.86,257.8,259.33,257.59,256.89,263.26,260.88,260.39,258.59,260.27,259.96,261.58,0.0
16.0,265.03,261.83,262.89,261.22,261.7,256.86,258.66,257.83,257.77,259.3,257.59,256.86,263.26,260.82,260.36,258.56,260.18,259.87,261.55,0.0
17.0,264.97,261.73,262.86,261.16,261.64,256.86,258.63,257.8,257.74,259.24,257.56,256.8,263.23,260.76,260.33,258.56,260.12,259.81,261.49,0.0
18.0,264.92,261.64,262.83,261.0,261.58,256.86,258.6,257.77,257.74,259.24,257.53,256.8,263.2,260.73,260.33,258.53,260.02,259.78,261.43,0.0
19.0,264.87,261.55,262.8,261.06,261.52,256.86,258.59,257.74,257.71,259.21,257.5,256.77,263.17,260.7,260.3,258.53,259.99,259.72,260.37,0.0
20.0,264.84,261.49,262.77,261.03,261.43,256.86,258.53,257.71,257.68,259.21,257.47,256.74,263.14,260.67,260.27,258.53,259.93,259.66,261.27,0.0
21.0,264.81,261.43,262.74,261.0,261.4,256.83,258.5,257.68,257.65,259.17,257.44,256.74,263.11,260.61,260.24,258.5,259.9,259.6,261.21,0.0
22.0,264.78,261.34,262.71,260.97,261.37,256.83,258.47,257.65,257.65,259.17,257.41,256.71,263.08,260.55,260.21,258.47,259.87,259.54,261.18,0.0
23.0,264.75,261.25,262.65,260.94,261.31,256.83,258.44,257.62,257.47,259.17,257.38,256.71,263.08,260.48,261.21,258.47,259.84,259.51,261.12,0.0
24.0,264.72,261.19,262.59,260.91,261.28,256.83,258.41,257.59,257.62,259.11,257.38,256.71,263.05,260.42,260.18,258.44,0.0,259.45,261.06,0.0
25.0,264.69,261.12,262.56,260.88,261.22,256.8,258.38,257.56,257.59,259.11,257.35,256.68,263.02,260.36,260.15,258.41,259.75,259.39,261.0,0.0
26.0,264.67,261.06,262.5,260.88,261.19,256.77,258.38,257.53,257.56,259.11,257.31,256.68,262.98,260.3,260.15,258.41,259.69,259.32,260.97,0.0
27.0,264.64,260.97,262.47,260.85,261.12,256.77,258.38,257.5,257.56,259.11,257.28,256.64,262.95,260.24,260.12,258.41,259.66,259.29,260.94,0.0
28.0,264.6,260.88,262.41,260.85,261.03,256.77,258.38,257.5,257.55,259.08,257.25,256.61,262.92,260.18,260.09,258.41,259.63,259.2,260.88,0.0
29.0,264.57,260.75,262.38,260.85,260.97,256.74,258.38,257.5,257.49,259.08,257.22,256.61,262.89,260.12,260.09,258.41,259.57,259.14,260.82,0.0
30.0,264.57,260.73,262.31,260.82,260.91,256.74,258.17,257.47,257.47,259.05,257.19,256.61,262.86,260.06,260.06,258.41,259.54,259.05,260.76,0.0
31.0,264.54,260.67,262.25,260.79,260.85,256.74,258.08,257.47,257.44,259.05,257.16,256.58,262.83,260.03,0.0,258.41,259.48,259.02,260.66,0.0
32.0,264.51,260.58,262.19,260.79,260.79,256.74,258.08,257.44,257.41,259.02,257.13,256.58,262.8,260.0,0.0,258.38,259.42,258.99,260.63,0.0
33.0,264.48,260.52,262.13,260.82,260.73,256.74,258.08,257.41,257.38,258.99,257.1,256.55,262.74,259.97,0.0,258.38,259.35,258.93,260.57,0.0
34.0,264.45,260.45,262.1,260.79,260.67,256.74,258.05,257.38,257.38,258.93,257.07,256.52,262.68,259.94,259.75,258.35,259.32,258.9,260.51,0.0
35.0,264.45,260.39,262.1,260.76,260.61,256.71,257.99,257.38,257.35,258.87,257.04,256.52,262.62,259.91,259.75,258.32,259.29,258.84,260.48,0.0
