,Month,Year,text_date,monthly_wl,text_clean,new_OD
0,1,2000,Jan 2000,238.49064516129036,Jan 2000,0
22,2,2000,Feb 2000,236.29275862068968,,1
43,3,2000,March 2000,236.34516129032258,,2
64,4,2000,April 2000,236.14499999999995,,3
85,5,2000,May 2000,236.42451612903227,,4
106,6,2000,June 2000,234.32566666666665,,5
127,7,2000,July 2000,229.2409677419355,,6
148,8,2000,Aug 2000,223.08129032258068,,7
169,9,2000,Sept 2000,229.55733333333336,,8
190,10,2000,Oct 2000,240.31451612903223,,9
211,11,2000,Nov 2000,239.34333333333336,,10
232,12,2000,Dec 2000,239.42741935483866,,11
1,1,2001,Jan 2001,235.20774193548382,Jan 2001,12
23,2,2001,Feb 2001,233.0782142857143,,13
44,3,2001,March 2001,232.79354838709682,,14
65,4,2001,April 2001,233.17900000000003,,15
86,5,2001,May 2001,234.24258064516133,,16
107,6,2001,June 2001,232.70700000000002,,17
128,7,2001,July 2001,227.54935483870972,,18
149,8,2001,Aug 2001,222.6996774193548,,19
170,9,2001,Sept 2001,216.43933333333325,,20
191,10,2001,Oct 2001,222.9722580645161,,21
212,11,2001,Nov 2001,230.52566666666672,,22
233,12,2001,Dec 2001,229.77580645161288,,23
2,1,2002,Jan 2002,225.0212903225807,Jan 2002,24
24,2,2002,Feb 2002,219.60857142857145,,25
45,3,2002,March 2002,218.53806451612897,,26
66,4,2002,April 2002,217.6306666666666,,27
87,5,2002,May 2002,216.43967741935487,,28
108,6,2002,June 2002,215.38966666666664,,29
129,7,2002,July 2002,215.5577419354839,,30
150,8,2002,Aug 2002,220.62677419354836,,31
171,9,2002,Sept 2002,221.541,,32
192,10,2002,Oct 2002,216.59387096774194,,33
213,11,2002,Nov 2002,223.45499999999996,,34
234,12,2002,Dec 2002,220.31999999999996,,35
3,1,2003,Jan 2003,214.20387096774195,Jan 2003,36
25,2,2003,Feb 2003,212.8710714285714,,37
46,3,2003,March 2003,212.85612903225805,,38
67,4,2003,April 2003,212.38566666666662,,39
88,5,2003,May 2003,212.10000000000008,,40
109,6,2003,June 2003,212.14833333333328,,41
130,7,2003,July 2003,212.24,,42
