mean,SUB_AREA,COAST,ORDER_,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,Shape_Leng,ENDO,MAIN_BAS,Shape_Area,NEXT_SINK,SORT,system:index,UP_AREA
15029.77121727902,793.2,0,1,453471,460.1,4.06106369E9,460.1,4.06106525E9,1.341578564517288,0,4.06002778E9,0.067783610059496,4.06002778E9,1363.0,00000000000000000040,116578.2
15030.91805895279,4985.1,0,1,453473,495.3,4.06106552E9,495.3,4.06106369E9,3.800414877575495,0,4.06002778E9,0.426112157527396,4.06002778E9,1366.0,00000000000000000041,102647.4
15027.023741069872,2154.5,0,1,453475,637.1,4.06105991E9,637.1,4.06106552E9,2.27389985280017,0,4.06002778E9,0.184161709163285,4.06002778E9,1374.0,00000000000000000044,94946.2
15006.202112804314,1534.2,0,1,453477,693.5,4.06106129E9,693.5,4.06105991E9,2.230766742006666,0,4.06002778E9,0.131285264181821,4.06002778E9,1378.0,00000000000000000045,91131.6
15023.083378052046,1524.3,0,1,453479,735.6,4.06106095E9,735.6,4.06106129E9,2.261942885459039,0,4.06002778E9,0.130243154109412,4.06002778E9,1384.0,00000000000000000046,88062.3
15064.227043457193,4544.4,0,1,453491,781.0,4.06106367E9,781.0,4.06106095E9,3.28333458436516,0,4.06002778E9,0.388956569681801,4.06002778E9,1386.0,00000000000000000048,55543.4
15059.555519884432,4661.9,0,1,453493,923.3,4.06105914E9,923.3,4.06106367E9,3.229248744596096,0,4.06002778E9,0.398765649777763,4.06002778E9,1394.0,0000000000000000004e,35119.2
15015.806989554803,7460.9,0,1,453495,1083.6,4.06105663E9,1083.6,4.06105914E9,5.063070706116111,0,4.06002778E9,0.639907237303768,4.06002778E9,1396.0,00000000000000000050,26427.1
,300.9,0,1,453497,1252.6,4.0610512E9,1252.6,4.06105663E9,0.823506750648743,0,4.06002778E9,0.025836438018661,4.06002778E9,1402.0,00000000000000000005,16323.6
14940.018940483973,9667.1,0,1,453499,1272.1,4.06105073E9,1272.1,4.0610512E9,5.120819676950841,0,4.06002778E9,0.831837066617617,4.06002778E9,1404.0,00000000000000000007,9667.1
14890.461538461537,10234.3,0,1,453801,0.0,4.06002876E9,0.0,0.0,6.028448389496069,0,4.06002876E9,0.843191662325788,4.06002876E9,1457.0,00000000000000000009,78369.8
,7674.9,0,1,453803,226.2,4.06114879E9,226.2,4.06002876E9,5.560243199300447,0,4.06002876E9,0.632858080933496,4.06002876E9,1459.0,0000000000000000000a,59079.9
,13957.6,0,1,453805,323.4,4.06114569E9,323.4,4.06114879E9,7.401672539303475,0,4.06002876E9,1.155281742110373,4.06002876E9,1461.0,0000000000000000000b,44915.2
,2963.5,0,1,453807,502.4,4.06113943E9,502.4,4.06114569E9,2.659228977601865,0,4.06002876E9,0.245009024198353,4.06002876E9,1462.0,0000000000000000000c,22235.9
14907.05767441861,12198.8,0,1,453809,567.2,4.06114024E9,567.2,4.06113943E9,6.75071558042923,0,4.06002876E9,1.011183420825168,4.06002876E9,1464.0,0000000000000000000e,12198.8
14939.963634793137,33757.4,0,1,454061,0.0,4.06003161E9,0.0,0.0,12.305075740583042,0,4.06003161E9,2.9462048053878,4.06003161E9,1496.0,00000000000000000010,96044.2
14743.97027849287,12095.7,0,1,454063,493.2,4.06100146E9,493.2,4.06003161E9,5.469776366730646,0,4.06003161E9,1.059014205059088,4.06003161E9,1497.0,00000000000000000011,57116.9
14836.477391282853,15501.8,0,1,454065,663.3,4.06098792E9,663.3,4.06100146E9,6.485674967483456,0,4.06003161E9,1.361000733445185,4.06003161E9,1500.0,00000000000000000014,38481.7
14833.927081205333,9247.9,0,1,454067,883.1,4.06097985E9,883.1,4.06098792E9,7.213290976212053,0,4.06003161E9,0.810438026524775,4.06003161E9,1501.0,00000000000000000015,18364.7
14939.874025731864,4903.2,0,1,454069,1101.7,4.06098972E9,1101.7,4.06097985E9,4.643454747084647,0,4.06003161E9,0.430388023964505,4.06003161E9,1504.0,00000000000000000018,4903.2
14776.424769703171,176.0,0,1,452100,0.0,4.06002545E9,0.0,0.0,0.754639101389532,0,4.06002545E9,0.015483764479074,4.06002545E9,1129.0,00000000000000000019,1574223.9
14832.31154900921,4180.4,0,1,452300,7.0,4.06097515E9,7.0,4.06002545E9,5.067990524113631,0,4.06002545E9,0.368858674593548,4.06002545E9,1131.0,0000000000000000001a,1488646.5
14820.339597315433,141.7,0,1,453141,0.0,4.06002666E9,0.0,0.0,0.607542550185424,0,4.06002666E9,0.012403044613759,4.06002666E9,1309.0,00000000000000000025,37787.1
14836.978165938866,20.4,0,1,453143,16.0,4.06099436E9,16.0,4.06002666E9,0.17460675443338,0,4.06002666E9,0.001783513235456,4.06002666E9,1310.0,00000000000000000026,30850.2
14876.92989417989,4300.6,0,1,453145,22.4,4.06099302E9,22.4,4.06099436E9,4.96706959554551,0,4.06002666E9,0.37882123185334,4.06002666E9,1313.0,00000000000000000027,22710.3
14847.33602085516,4724.8,0,1,453147,252.8,4.06096408E9,252.8,4.06099302E9,3.815300187722231,0,4.06002666E9,0.417314827401811,4.06002666E9,1314.0,00000000000000000028,11346.5
14758.458794860439,4636.8,0,1,453149,361.1,4.06096165E9,361.1,4.06096408E9,3.947647184070697,0,4.06002666E9,0.409565136811462,4.06002666E9,1316.0,0000000000000000002a,4636.8
14908.016547784157,17293.8,0,1,453210,0.0,4.0600271E9,0.0,0.0,10.185339428790712,0,4.0600271E9,1.493665122681859,4.0600271E9,1331.0,0000000000000000002c,135526.1
14981.649202378658,10023.9,0,1,453230,355.4,4.06103159E9,355.4,4.0600271E9,6.497399644866841,0,4.0600271E9,0.869421234232547,4.0600271E9,1333.0,0000000000000000002d,95217.4
14947.577565108677,13692.6,0,1,453250,454.7,4.06101799E9,454.7,4.06103159E9,6.955687418940411,0,4.0600271E9,1.194688833827182,4.0600271E9,1334.0,0000000000000000002e,72492.7
15011.87460314209,4451.7,0,1,453270,605.2,4.06101376E9,605.2,4.06101799E9,4.841236805414518,0,4.0600271E9,0.386426324323372,4.0600271E9,1336.0,00000000000000000030,48813.2
15032.085509299175,2992.8,0,1,453291,636.2,4.06101355E9,636.2,4.06101376E9,3.544437074334488,0,4.0600271E9,0.260713652023617,4.0600271E9,1338.0,00000000000000000032,31108.6
15015.468117602144,238.1,0,1,453293,680.9,4.06101084E9,680.9,4.06101355E9,0.653814411830833,0,4.0600271E9,0.0207541545091,4.0600271E9,1341.0,00000000000000000035,24775.1
14972.582530855821,819.6,0,1,453295,700.6,4.06101019E9,700.6,4.06101084E9,1.477119748286081,0,4.0600271E9,0.071401846671634,4.0600271E9,1343.0,00000000000000000037,20572.0
14977.34817650615,485.0,0,1,453297,743.0,4.06101288E9,743.0,4.06101019E9,0.994737392370349,0,4.0600271E9,0.042214671278137,4.0600271E9,1344.0,00000000000000000038,17263.2
14977.060362930677,12670.0,0,1,453299,777.3,4.06101693E9,777.3,4.06101288E9,6.165258423229995,0,4.0600271E9,1.099030612628063,4.0600271E9,1346.0,0000000000000000003a,12670.0
14942.89649404177,5961.9,0,1,453410,0.0,4.06002778E9,0.0,0.0,6.164312344081702,0,4.06002778E9,0.504910006664908,4.06002778E9,1357.0,0000000000000000003c,310380.1
14974.489056091854,15565.4,0,1,453430,183.3,4.06108131E9,183.3,4.06002778E9,6.961225539495925,0,4.06002778E9,1.324146619624655,4.06002778E9,1358.0,0000000000000000003d,282910.8
